"Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Commune","Departement","Region","WGS_84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"271007","Paris Nord","206691760","214220327","Paris","Paris","Île-de-France","48.880185, 2.355151","6.99","6.64","6.91","5.84","6.84","2.9016949152542373","1030","714","898","28","3","46","7","24","20","5.44","26.1","20.6","16.6","11.7","5.01","0","0","5","10","79","3","0","1","1","1","true","89.8","2","3","0","2"
"271007","Paris Nord","206691760","214220327","Paris","Paris","Île-de-France","48.880185, 2.355151","6.99","6.64","6.91","5.84","6.84","2.9016949152542373","1030","714","898","28","3","46","7","24","20","5.44","26.1","20.6","16.6","11.7","5.01","0","0","5","10","79","3","0","1","1","1","true","89.8","2","3","0","2"
"384008","Paris St Lazare","107941079","105324691","Paris","Paris","Île-de-France","48.876242, 2.325331","7.13","7.59","7.26","6.3","7.13","1.8796610169491526","526","355","247","37","4","65","10","6","14","7.73","30.1","21.4","17.9","14.7","7.06","0","0","6","23","70","0","0","0","0","0","true","95.3","1","3","0","1"
"686006","Paris Gare de Lyon","100422655","101249573","Paris","Paris","Île-de-France","48.844888, 2.37352","6.76","7.58","7.37","6.62","7.04","5.096610169491526","2299","1209","2891","113","0","37","9","25","29","4.13","25.9","21","18.8","15.7","11.1","0","0","6","8","72","5","0","4","3","1","true","96.8","2","3","1","4"
"391003","Paris Montparnasse 1 et 2+Vaugirard","53593297","53890474","Paris","Paris","Île-de-France","48.841172, 2.320514","6.74","7.18","7.3","6.51","7.12","","1952","1052","1975","108","4","34","6","26","30","7.28","25.3","18","17.5","15.2","11.9","1","0","8","10","74","5","0","1","2","0","true","95.2","1","7","1","1"
"113001","Paris Est","33163296","33681792","Paris","Paris","Île-de-France","48.876742, 2.358424","6.93","7.47","7.52","6.63","7.27","3.8220338983050848","651","432","445","15","2","51","10","14","16","7.94","23.7","17.5","16.9","14.2","7.7","0","0","2","12","82","2","0","1","1","1","true","92.6","1","3","1","1"
"723197","Lyon Part Dieu","29876563","31993238","Lyon","Rhône","Auvergne-Rhône-Alpes","45.760559, 4.859355","6.65","7.3","7.51","6.56","7.26","2.8661016949152542","2864","1260","1253","48","2","34","12","22","31","10.4","34.6","17.6","15.8","13.7","7.89","0","1","17","20","26","7","15","5","8","2","true","94.3","0","0","0","1"
"547000","Paris Austerlitz","22826428","23182286","Paris","Paris","Île-de-France","48.842285, 2.364891","6.93","6.91","7.2","6.9","6.8","4.1","623","147","335","43","3","37","5","21","33","4.6","25.1","19.2","17.5","17.9","13.5","0","1","6","18","68","3","0","2","1","2","true","92.6","1","3","1","2"
"212027","Strasbourg","18336028","18053898","Strasbourg","Bas-Rhin","Grand Est","48.584967, 7.734584","7.32","7.92","7.84","7.24","7.93","2.3271186440677964","692","556","354","26","3","42","24","15","16","29.72","44.5","22.47","22.93","20.22","15.65","0","1","11","27","0","2","41","4","6","9","true","94.5","1","3","1","1"
"286005","Lille Flandres","18023854","18384462","Lille","Nord","Hauts-de-France","50.636577, 3.06987","7.59","7.83","7.81","7.66","7.79","0.7813559322033898","486","418","218","15","1","50","20","15","15","15.3","32.1","15.9","15.9","13.1","7.57","0","0","5","34","45","2","4","4","5","1","true","95","1","3","1","0"
