"UIC","c0_19","c20_29","c30_39","c40_49","c50_59","c60"
"111849","0.38","2.68","4.4","4.02","2.05","1.69"
"113001","7.94","23.7","17.5","16.9","14.2","7.7"
"118000","19.9","24.7","13.6","16.4","14.9","10.4"
"141002","23.5","29","13.7","11.4","11.6","10.8"
"142109","3.22","15.3","14.7","19.2","19.7","27.9"
"171009","23.1","24.9","14.3","14.9","13","9.75"
"182014","35.9","25.3","9.81","9.79","11.4","7.74"
"182063","25.9","25.5","16.7","12.6","13.6","5.68"
"192039","28.2","59.5","33.8","27.4","29.4","21.4"
"212027","29.72","44.5","22.47","22.93","20.22","15.65"
"223263","5.94","25.7","20.4","18.7","16.3","12.6"
"271007","5.44","26.1","20.6","16.6","11.7","5.01"
"271494","0.93","6.58","7.55","5.8","4.48","3.9"
"286005","15.3","32.1","15.9","15.9","13.1","7.57"
"300822","4.92","19.4","20.7","20.8","19.9","14.3"
"300863","10.1","20.7","19.6","18.5","14.5","16.7"
"313874","34.5","32.2","8.86","9.89","8.05","6.51"
"318964","5.8","21.1","16.5","16","16.3","24.2"
"319012","2.23","17.6","18.6","17","18.9","25.7"
"345025","25.4","30.1","16.9","11.2","9.51","6.96"
"384008","7.73","30.1","21.4","17.9","14.7","7.06"
"391003","7.28","25.3","18","17.5","15.2","11.9"
"393702","5.08","21.9","19.3","21.1","21.2","10.1"
"396002","15.4","19.4","13.9","17.5","19.4","14.5"
"411017","17.8","29.2","15.9","11.9","14.3","10.9"
"444000","19.2","24.7","16","11.4","16.3","11.9"
"444877","6.84","23.3","19.1","18.9","16","15.9"
"471003","12.5","25","14.9","16.3","16.9","13.9"
"476002","18.3","21.6","14.8","15.3","13.8","16.3"
"478404","11.2","23.9","16.1","15.2","14.6","19"
"481002","9.15","23.8","15.2","17.5","18.1","15.2"
"484006","16","20.1","13.1","16.8","16.8","17.2"
"547000","4.6","25.1","19.2","17.5","17.9","13.5"
"571000","17.3","24.7","10.9","18.1","14.6","14.3"
"575001","17.4","26.8","13.1","15.1","13.8","13.8"
"581009","17.2","25.4","14.9","13.6","15.2","13.7"
"583005","18.1","25.5","13.9","11.7","11.3","17"
"611004","15.1","27.7","17.2","13.6","11.8","14.7"
"673004","14.5","23","14.9","11","17.1","19.4"
"673400","14.1","19.6","9.14","14.3","7.82","35.1"
"677005","9.28","12.1","9.44","12.6","13.5","43.1"
"686006","4.13","25.9","21","18.8","15.7","11.1"
"713040","19.5","25.4","10.3","14.6","15.6","14.4"
"718007","0","0","0","0","0","0"
"722025","11","26.6","17.8","18.2","16","10.1"
"723197","10.4","34.6","17.6","15.8","13.7","7.89"
"747006","12.9","26.9","16.2","16.7","17.2","10.1"
"751008","13.7","28.9","17.3","15.3","12.3","12.3"
"753657","12.6","23.5","13.2","17.7","13","19.9"
"755009","16.2","29","14","10.9","11.1","18.8"
"756056","14.4","28.7","14","13.7","13.8","15.4"
"757625","31.2","19.1","9.81","12.5","7.73","19.7"
"762906","2.8","28","21.5","21.4","16.3","10"
"763029","3.21","19.7","17.8","20.3","19.4","19.6"
"773002","14.6","29.8","15.4","11.9","13.5","14.6"
"775007","21.9","24.4","12.7","13.3","11.2","16.4"
"784009","21.9","18.9","7.79","14.5","14.9","22"
