"UIC","Wifi"
"784231","false"
"484006","true"
"741645","false"
"381848","true"
"543090","false"
"444539","false"
"381491","false"
"592311","false"
"613398","false"
"753657","false"
"317016","false"
"276485","false"
"581009","true"
"214775","false"
"684407","false"
"775346","false"
"478065","false"
"342071","false"
"726414","false"
"386730","false"
"271304","true"
"545467","true"
"276543","false"
"562421","false"
"286146","false"
"683607","false"
"281428","false"
"611764","false"
"613075","false"
"411264","false"
"342592","false"
"683573","false"
"111864","false"
"611533","false"
"590349","false"
"616011","false"
"286872","false"
"683789","false"
"576439","false"
"721357","false"
"473165","false"
"481770","false"
"476408","false"
"781609","false"
"592188","false"
"673004","true"
"672774","false"
"783563","false"
"582759","false"
"345140","false"
"214296","false"
"141424","false"
"212308","false"
"673400","true"
"393546","false"
"723544","false"
"393363","false"
"694612","false"
"574004","true"
"684118","false"
"641266","false"
"741793","true"
"611095","false"
"576207","true"
"182659","false"
"276451","false"
"594762","false"
"473827","false"
"545194","true"
"287235","false"
"381624","false"
"694166","false"
"394452","false"
"756395","false"
"755371","false"
"615229","false"
"172353","false"
"615625","false"
"473546","false"
"471037","false"
"444000","true"
"725721","false"
"313395","false"
"743120","false"
"473199","false"
"594663","false"
"582734","false"
"478123","false"
"784785","false"
"386573","true"
"615146","false"
"741470","false"
"734087","false"
"317115","false"
"725804","false"
"586404","false"
"734459","false"
"281410","false"
"673699","false"
"394247","false"
"300863","true"
"213611","false"
"718015","false"
"381152","false"
"381079","true"
"713073","false"
"343160","false"
"193821","false"
"726471","false"
"757690","false"
"300822","true"
"486142","false"
"581850","false"
"765198","false"
"641068","false"
"295808","false"
"313510","false"
"193250","false"
"175133","false"
"753228","false"
"381046","true"
"783647","false"
"144147","false"
"184200","false"
"295725","false"
"448514","false"
"611384","false"
"141416","false"
"613604","false"
"342584","false"
"783340","false"
"342543","false"
"345520","false"
"581736","false"
"613000","false"
"281139","false"
"751776","false"
"131961","false"
"682138","false"
"723429","false"
"171322","false"
"394270","false"
"476242","false"
"722728","false"
"448084","false"
"592063","false"
"734269","false"
"381137","true"
"543058","false"
"396549","false"
"545657","false"
"613224","false"
"342014","true"
"672162","false"
"476200","true"
"726760","false"
"286864","false"
"784801","false"
"784876","false"
"415893","false"
"281279","false"
"545731","false"
"345389","false"
"142224","false"
"545178","false"
"393603","false"
"615054","false"
"613356","false"
"174003","false"
"581538","false"
"381905","true"
"583690","false"
"682161","false"
"113878","false"
"757567","false"
"715102","false"
"172262","false"
"296566","false"
"743716","false"
"671479","false"
"313874","true"
"278259","false"
"295055","false"
"721530","false"
"696302","false"
"276113","false"
"775221","false"
"486332","false"
"396275","false"
"783530","false"
"775171","false"
"486308","false"
"481564","false"
"481754","true"
"338525","false"
"159947","false"
"595595","false"
"191619","false"
"487843","false"
"381558","false"
"491035","false"
"696294","false"
"723536","false"
"746313","false"
"342337","false"
"478024","false"
"212191","false"
"726430","false"
"751701","false"
"575365","false"
"486571","false"
"471052","false"
"683318","false"
"476762","false"
"726208","false"
"366922","false"
"726901","false"
"576405","false"
"297531","false"
"276170","false"
"485490","false"
"673723","false"
"694364","false"
"756346","false"
"713651","false"
"276402","false"
"491357","false"
"713834","false"
"682294","false"
"478107","true"
"393454","false"
"584615","false"
"276261","false"
"182881","false"
"590828","false"
"592493","false"
"141598","false"
"286625","false"
"444562","false"
"144097","false"
"393595","false"
"746735","false"
"611350","false"
"574327","false"
"576090","false"
"576009","true"
"271437","true"
"182550","false"
"734426","false"
"276568","false"
"773432","false"
"696351","false"
"574434","false"
"611863","false"
"343004","true"
"212118","false"
"576215","false"
"722264","false"
"447284","false"
"592451","false"
"696310","false"
"447698","false"
"756361","false"
"444398","false"
"743328","false"
"775197","false"
"683631","false"
"756890","false"
"784611","false"
"448159","false"
"745646","false"
"322347","false"
"487009","false"
"116210","false"
"286740","false"
"191130","false"
"484147","false"
"755009","true"
"313353","false"
"594093","false"
"473116","false"
"413385","false"
"543371","false"
"141010","false"
"672600","false"
"543124","false"
"382432","false"
"481689","false"
"271171","true"
"681452","false"
"471094","false"
"182642","false"
"271023","true"
"384008","true"
"547000","true"
"354589","false"
"686667","true"
"734293","false"
"113001","true"
"753707","false"
"337378","false"
"721480","false"
"144030","false"
"142125","false"
"713008","false"
"575191","false"
"141812","false"
"191320","false"
"694695","false"
"718429","false"
"116772","true"
"696831","false"
"271593","false"
"615120","false"
"755355","false"
"613802","false"
"296152","false"
"382200","false"
"481804","false"
"594119","false"
"116277","false"
"313742","false"
"592881","false"
"684241","false"
"212266","false"
"296871","false"
"316752","false"
"181040","false"
"342527","false"
"756387","false"
"721753","false"
"393173","false"
"721415","false"
"546317","false"
"393637","false"
"575142","true"
"611376","false"
"142000","false"
"721761","false"
"574301","false"
"682146","true"
"396895","false"
"394288","false"
"672139","false"
"296178","false"
"784256","false"
"478057","false"
"696617","false"
"481440","false"
"387159","false"
"387001","true"
"175141","false"
"345496","false"
"276584","false"
"193805","false"
"413732","false"
"545145","false"
"214148","false"
"175794","false"
"784207","false"
"141119","false"
"540179","false"
"212357","false"
"281469","false"
"594168","false"
"281006","true"
"444547","false"
"171512","false"
"141200","false"
"393488","false"
"594325","false"
"775791","false"
"576876","false"
"393058","true"
"172007","true"
"576298","false"
"592105","false"
"683128","false"
"575225","false"
"590372","false"
"683615","false"
"481051","false"
"381194","false"
"784769","false"
"726737","false"
"582403","false"
"286641","false"
"722702","false"
"354597","false"
"212332","false"
"295048","false"
"694638","false"
"715136","false"
"746248","false"
"681379","true"
"276246","false"
"281246","false"
"142265","false"
"757724","false"
"576025","false"
"386052","false"
"485193","false"
"313098","false"
"741256","false"
"586693","false"
"545269","false"
"462085","false"
"751230","false"
"694398","false"
"381228","false"
"317495","false"
"485110","false"
"715326","false"
"741231","false"
"721829","false"
"784819","false"
"113894","false"
"696229","false"
"342204","false"
"473876","false"
"592360","false"
"313833","false"
"172098","false"
"141036","false"
"381897","true"
"345132","false"
"281402","false"
"594382","false"
"571448","false"
"171769","false"
"615203","false"
"144386","false"
"313056","false"
"696146","false"
"713321","false"
"721225","false"
"184556","false"
"491134","false"
"381129","true"
"184259","false"
"184622","false"
"571687","false"
"746370","false"
"491449","false"
"394494","false"
"725713","false"
"342063","false"
"723502","false"
"683649","false"
"313544","false"
"584516","false"
"613232","false"
"718312","false"
"297143","false"
"317081","false"
"753491","false"
"287185","false"
"214551","false"
"142497","false"
"396226","false"
"271874","false"
"741074","false"
"696427","false"
"214338","false"
"214536","false"
"484113","false"
"476770","false"
"684233","false"
"144436","false"
"478040","false"
"478164","false"
"761841","false"
"381566","false"
"775130","false"
"393348","false"
"732404","false"
"313262","false"
"718577","false"
"684290","false"
"116046","true"
"697300","false"
"276022","true"
"386763","false"
"276055","true"
"611707","false"
"615211","false"
"287276","false"
"272096","false"
"116327","false"
"721563","false"
"144642","false"
"484154","false"
"682427","false"
"775379","false"
"756858","false"
"718536","false"
"611046","false"
"611616","false"
"317537","false"
"681353","false"
"276139","true"
"491282","false"
"641076","false"
"116178","false"
"715151","false"
"783241","false"
"584508","false"
"286161","false"
"271015","true"
"213108","false"
"484329","false"
"214692","false"
"673251","false"
"487603","false"
"723700","false"
"753558","false"
"214205","false"
"725671","false"
"444695","false"
"746438","false"
"431791","false"
"411017","true"
"191734","false"
"396259","false"
"295709","false"
"413740","false"
"654798","false"
"672766","false"
"474635","false"
"271494","true"
"213249","false"
"171595","false"
"726331","false"
"681338","false"
"212407","false"
"193623","false"
"571455","false"
"753251","false"
"613422","false"
"686030","true"
"271486","true"
"694687","false"
"116699","false"
"581710","false"
"276774","false"
"722207","false"
"784868","false"
"712604","false"
"295667","false"
"214742","false"
