"UIC","Nombre_de_non_conformites","Nombre_d_observations","Taux_de_conformite"
"741728","9","278","96.8"
"757526","76","672","88.7"
"741793","15","316","95.3"
"743005","55","477","88.5"
"718007","34","572","94.1"
"722025","10","599","98.3"
"764001","37","364","89.8"
"784009","7","219","96.8"
"671339","0","219","100"
"773200","27","407","93.4"
"611244","19","322","94.1"
"387001","17","215","92.1"
"481705","12","268","95.5"
"473009","35","330","89.4"
"318964","23","515","95.5"
"584052","2","154","98.7"
"543009","37","641","94.2"
"476200","11","212","94.8"
"300822","21","332","93.7"
"271007","131","1280","89.8"
"276691","16","277","94.2"
"113001","43","584","92.6"
"345009","36","513","93"
"686667","25","637","96.1"
"763029","81","723","88.8"
"726000","38","375","89.9"
"773002","83","756","89"
"615286","7","217","96.8"
"745000","8","298","97.3"
"746008","29","389","92.5"
"775007","22","753","97.1"
"781278","18","265","93.2"
"594002","0","346","100"
"543017","13","188","93.1"
"583005","42","486","91.4"
"413013","10","449","97.8"
"474338","27","322","91.6"
"576207","8","271","97"
"474098","1","70","98.6"
"471003","61","472","87.1"
"476606","19","262","92.7"
"474007","18","340","94.7"
"271494","60","539","88.9"
"300863","16","221","92.8"
"476002","25","126","80.2"
"484006","69","720","90.4"
"411017","71","649","89.1"
"574004","20","281","92.9"
"444877","4","257","98.4"
"571000","26","586","95.6"
"478404","25","444","94.4"
"345025","38","518","92.7"
"686006","31","983","96.8"
"571216","34","411","91.7"
"781104","25","378","93.4"
"142109","12","249","95.2"
"191007","9","354","97.5"
"212027","33","600","94.5"
"147322","14","289","95.2"
"182063","10","423","97.6"
"182014","10","275","96.4"
"141002","48","729","93.4"
"611004","12","672","98.2"
"725705","2","275","99.3"
"734004","36","486","92.6"
"547000","44","591","92.6"
"396002","55","684","92"
"576009","10","327","96.9"
"485300","11","387","97.2"
"586008","5","325","98.5"
"391003","90","1873","95.2"
"319012","77","651","88.2"
"384008","28","595","95.3"
"313882","11","400","97.2"
"286005","32","644","95"
"343004","14","544","97.4"
"223263","30","767","96.1"
"281006","20","343","94.2"
"313874","16","310","94.8"
"342014","54","737","92.7"
"694109","8","302","97.4"
"741009","46","743","93.8"
"762906","39","384","89.8"
"751008","72","671","89.3"
"592006","15","346","95.7"
"673400","19","354","94.6"
"755009","46","669","93.1"
"713040","46","783","94.1"
"732008","9","241","96.3"
"673202","15","339","95.6"
"172007","20","718","97.2"
"171926","30","537","94.4"
"118000","12","307","96.1"
"571240","14","681","97.9"
"581009","55","798","93.1"
"481754","16","260","93.8"
"486019","12","300","96"
"575142","3","231","98.7"
"597005","8","424","98.1"
"485003","26","483","94.6"
"575001","21","553","96.2"
"481002","37","600","93.8"
"281071","36","870","95.9"
"192039","34","596","94.3"
"393702","18","562","96.8"
"171009","9","807","98.9"
"111849","33","515","93.6"
"755447","37","469","92.1"
"723197","41","715","94.3"
"747006","19","577","96.7"
"781005","13","414","96.9"
"673004","25","363","93.1"
"757674","66","697","90.5"
"757625","140","855","83.6"
"756056","52","695","92.5"
"672006","11","355","96.9"
