"Commune","Departement","Region","Code_UIC","WGS_84"
"Mandelieu-la-Napoule","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","757591","43.523903, 6.941313"
"Saint-Hilaire-du-Rosier","Isère","Auvergne-Rhône-Alpes","761684","45.0713405, 5.243851"
"Romans-sur-Isère","Drôme","Auvergne-Rhône-Alpes","761650","45.048857, 5.0498"
"Saint-Rambert-d'Albon","Drôme","Auvergne-Rhône-Alpes","761106","45.297797, 4.810849"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","759290","43.3309989, 5.3927456"
"Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","757575","43.4746639, 6.9243444"
"Livron-sur-Drôme","Drôme","Auvergne-Rhône-Alpes","761247","44.7796035, 4.8305412"
"Crest","Drôme","Auvergne-Rhône-Alpes","761783","44.7301546, 5.0160968"
"Poliénas","Isère","Auvergne-Rhône-Alpes","761742","45.256006, 5.4735849"
"Vinay","Isère","Auvergne-Rhône-Alpes","761726","45.20797, 5.41005"
"Roquebrune-Cap-Martin","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756460","43.7606178, 7.457343"
"Peillon","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756783","43.767846, 7.366807"
"Trinité","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756767","43.7427854, 7.3114604"
"Arcs","Var","Provence-Alpes-Côte d'Azur","755447","43.455524, 6.482498"
"Cuers","Var","Provence-Alpes-Côte d'Azur","755355","43.2364281, 6.0856855"
"Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","757542","43.4178193, 6.8442467"
"Peille","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","756791","43.7920239, 7.3800257"
"Vidauban","Var","Provence-Alpes-Côte d'Azur","755421","43.4309416, 6.4338501"
"Pignans","Var","Provence-Alpes-Côte d'Azur","755389","43.298475, 6.2248459"
"Fréjus","Var","Provence-Alpes-Côte d'Azur","757518","43.4288632, 6.7551022"
"Manosque","Alpes-de-Haute-Provence","Provence-Alpes-Côte d'Azur","751321","43.8231945, 5.7933241"
"Trinité","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","751529","43.7343716, 7.3025298"
"Gières","Isère","Auvergne-Rhône-Alpes","747402","45.184877, 5.78474"
"Chamonix-Mont-Blanc","Haute-Savoie","Auvergne-Rhône-Alpes","746859","45.9819438, 6.9264844"
"Meyrargues","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","751370","43.6440076, 5.5395738"
"Vallorcine","Haute-Savoie","Auvergne-Rhône-Alpes","746883","46.018805, 6.9204119"
"Clelles","Isère","Auvergne-Rhône-Alpes","747626","44.8272443, 5.6050622"
"Grenoble","Isère","Auvergne-Rhône-Alpes","747006","45.191493, 5.714584"
"Argentière-la-Bessée","Hautes-Alpes","Provence-Alpes-Côte d'Azur","763557","44.7909802, 6.5564162"
"Eygliers","Hautes-Alpes","Provence-Alpes-Côte d'Azur","763508","44.6746283, 6.6156027"
"Fons","Gard","Occitanie","775379","43.9073195, 4.2066687"
"Pierrelatte","Drôme","Auvergne-Rhône-Alpes","764308","44.374719, 4.703783"
"Saint-Aunès","Hérault","Occitanie","773465","43.6354383, 3.9628994"
"Donzère","Drôme","Auvergne-Rhône-Alpes","764290","44.4433646, 4.7046262"
"Villefort","Lozère","Occitanie","775197","44.4395099, 3.9240146"
"Grand-Combe","Gard","Occitanie","775247","44.228602, 4.0102736"
"Génolhac","Gard","Occitanie","775213","44.3471626, 3.9516407"
"Uchaud","Gard","Occitanie","775106","43.7583991, 4.2683101"
"Saint-Georges-de-Luzençon","Aveyron","Occitanie","783423","44.066553, 2.983784"
"Saint-Féliu-d'Avall","Pyrénées-Orientales","Occitanie","784520","42.6772874, 2.7378217"
"Tournemire","Aveyron","Occitanie","783456","43.9698002, 3.0166261"
"Port-la-Nouvelle","Aude","Occitanie","781062","43.0199342, 3.0388188"
"Peyre en Aubrac","Lozère","Occitanie","783266","44.7181699, 3.2835489"
"Rivesaltes","Pyrénées-Orientales","Occitanie","784173","42.7664405, 2.86789"
"Serdinya","Pyrénées-Orientales","Occitanie","784710","42.5615245, 2.3111464"
"Cailar","Gard","Occitanie","775825","43.6834141, 4.2354236"
"Vauvert","Gard","Occitanie","775817","43.6950375, 4.270165"
"Coursan","Aude","Occitanie","781161","43.23369, 3.0510465"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","751842","43.3392414, 5.390412"
