Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2015-05;0087725622;Tournus;0;0;0;6;6
2015-05;0087575001;Poitiers;153;109;11;592;319
2015-05;0087574897;Saint-Aignan - Noyers;5;0;0;6;1
2015-05;0087411017;Rouen Rive Droite;171;93;12;468;192
2015-05;0087474155;Rosporden;3;5;1;17;8
2015-05;0087471508;Vitré;11;2;0;37;24
2015-05;0087734871;Massiac - Blesle;4;0;0;7;3
2015-05;0087295006;Maubeuge;13;10;0;35;12
2015-05;0087394171;La Villette Saint-Prest;0;0;0;0;0
2015-05;0087486019;La Roche-sur-Yon;28;16;4;112;64
2015-05;0087223263;Lille Europe;468;477;18;1574;611
2015-05;0087718544;Le Valdahon;5;0;0;6;1
2015-05;0087473108;Lamballe;22;17;1;112;72
2015-05;0087718239;Lons-le-Saunier;25;26;0;78;27
2015-05;0087194274;Longuyon;0;0;0;9;9
2015-05;0087447219;Lison;2;0;0;32;30
2015-05;0087683268;Laroche - Migennes;23;5;0;47;19
2015-05;0087641472;Le Mont-Dore;0;0;0;7;7
2015-05;0087671123;Lannemezan;2;0;0;19;17
2015-05;0087192468;Pagny-sur-Moselle;0;0;0;0;0
2015-05;0087141044;Toul;23;0;0;29;6
2015-05;0087543074;Toury;0;0;0;0;0
2015-05;0087763466;Embrun;8;1;0;12;3
2015-05;0087673202;Dax;62;126;7;412;217
2015-05;0087694141;Étang;0;0;0;5;5
2015-05;0087276006;Creil;16;0;1;38;21
2015-05;0087746008;Annecy;30;48;2;179;99
2015-05;0087574475;Bléré la Croix;0;0;0;1;1
2015-05;0087192401;Ars-sur-Moselle;0;0;0;0;0
2015-05;0087313510;Beauvais;13;1;0;21;7
2015-05;0087694778;Chauffailles;0;0;0;1;1
2015-05;0087696807;Clamecy;0;0;0;0;0
2015-05;0087478073;Dol;17;3;2;50;28
2015-05;0087746479;Saint-Gervais-les-Bains Le Fayet;5;8;0;29;16
2015-05;0087193318;Saint-Avold;3;0;0;11;8
2015-05;0087645440;Vic-sur-Cère;0;0;0;4;4
2015-05;0087486449;Les Sables-d'Olonne;11;23;4;85;47
2015-05;0087725705;Mâcon Loché TGV;29;32;1;70;8
2015-05;0087713529;Nuits-Saint-Georges;1;2;0;7;4
2015-05;0087141820;Pont-à-Mousson;24;0;0;30;6
2015-05;0087413385;Yvetot;10;2;0;18;6
2015-05;0087182063;Mulhouse;143;56;0;373;174
2015-05;0087641464;La Bourboule;0;1;0;2;1
2015-05;0087473207;Guingamp;27;31;1;133;74
2015-05;0087597609;Guéret;0;3;0;17;14
2015-05;0087295063;Hirson;0;4;0;6;2
2015-05;0087271494;Aéroport Charles de Gaulle 2 TGV;185;242;9;599;163
2015-05;0087583005;Angoulême;66;108;1;435;260
2015-05;0087317362;Abbeville;4;2;0;24;18
2015-05;0087694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;20;29;0;95;46
2015-05;0087645473;Le Lioran;0;0;0;0;0
2015-05;0087571471;Loches;2;0;0;6;4
2015-05;0087111849;Marne-la-Vallée Chessy;377;184;4;839;274
2015-05;0087696005;Nevers;46;13;0;193;134
2015-05;0087317057;Rang-du-Fliers - Verton - Berck;23;4;0;42;15
2015-05;0087576322;Saint-Amand-Montrond - Orval;1;0;0;3;2
2015-05;0087734160;Le Cendre - Orcet;0;0;0;3;3
2015-05;0087571828;Langeais;1;0;0;3;2
2015-05;0087394155;Jouy;0;0;0;0;0
2015-05;0087342337;Saint-Pol-sur-Ternoise;2;5;0;12;5
2015-05;0087481705;Saint-Nazaire;40;30;1;139;68
2015-05;0087491001;Saintes;34;40;0;155;81
2015-05;0087746438;Sallanches - Combloux - Megève;0;0;0;7;7
2015-05;0087576868;Selles-sur-Cher;0;0;0;1;1
2015-05;0087193615;Sarreguemines;4;1;1;11;5
2015-05;0087713198;Tonnerre;0;0;0;26;26
2015-05;0087611616;Foix;5;28;0;54;21
2015-05;0087271734;Villers-Cotterêts;1;0;0;1;0
2015-05;0087743716;Ambérieu-en-Bugey;7;4;1;42;30
2015-05;0087725002;Chalon-sur-Saône;34;15;2;152;101
2015-05;0087696427;Dompierre Sept Fons;0;0;0;0;0
2015-05;0087393488;Dreux;2;3;0;9;4
2015-06;0087118158;Romilly-sur-Seine;0;8;0;12;4
2015-06;0087182063;Mulhouse;163;65;6;425;191
2015-06;0087734475;Thiers;0;0;0;0;0
2015-06;0087763557;L'Argentière Les Écrins;0;0;0;0;0
2015-06;0087641472;Le Mont-Dore;0;2;0;10;8
2015-06;0087474239;Landerneau;32;25;1;101;43
2015-06;0087641357;Vallon-en-Sully;0;0;0;0;0
2015-06;0087732008;Vichy;20;29;1;247;197
2015-06;0087783605;Mende;0;0;0;0;0
2015-06;0087613000;Cahors;15;9;0;60;36
2015-06;0087182238;Altkirch;3;0;1;5;1
2015-06;0087781278;Agde;28;47;1;162;86
2015-06;0087765008;Avignon Centre;48;17;0;156;91
2015-06;0087476200;Auray;32;52;0;187;103
2015-06;0087683789;Avallon;0;0;0;0;0
2015-06;0087592121;Eymoutiers Vassivière;0;0;0;2;2
2015-06;0087574343;Amboise;0;2;1;55;52
2015-06;0087581009;Bordeaux Saint-Jean;577;651;25;2731;1478
2015-06;0087781609;Bédarieux;8;3;1;22;10
2015-06;0087713578;Chagny;1;1;0;24;22
2015-06;0087713040;Dijon;195;130;8;758;425
2015-06;0087413344;Bréauté - Beuzeville;6;0;16;24;2
2015-06;0087574160;Beaugency;0;0;0;4;4
2015-06;0087415018;Dieppe;37;9;1;71;24
2015-06;0087394007;Chartres;23;6;0;68;39
2015-06;0087673202;Dax;69;129;5;397;194
2015-06;0087478164;Dinan;17;0;0;25;8
2015-06;0087582668;Arcachon;37;20;2;101;42
2016-09;0087686006;Paris Gare de Lyon;1121;2864;83;6068;2000
2016-09;0087391003;Paris Montparnasse;891;1804;89;4453;1669
2016-09;0087271007;Paris Nord;602;807;11;2441;1021
2016-09;0087784009;Perpignan;118;162;3;554;271
2016-09;0087683136;Pont-sur-Yonne;0;0;0;1;1
2016-09;0087575076;Port-de-Piles;2;0;0;5;3
2016-09;0087172270;Rethel;93;1;0;97;3
2016-09;0087726802;Roanne;34;17;1;109;57
2016-09;0087118158;Romilly-sur-Seine;0;1;0;10;9
2016-09;0087313460;Rosières;0;0;0;0;0
2016-09;0087396408;Sablé-sur-Sarthe;11;4;0;44;29
2016-09;0087446179;Saint-Cyprien Arènes;0;0;0;0;0
2016-09;0087543116;Saint-Cyr-en-Val la Source;0;0;0;1;1
2016-09;0087575050;Sainte-Maure - Noyant;0;0;0;0;0
2016-09;0087683318;Saint-Florentin - Vergigny;2;0;0;4;2
2016-09;0087576272;Saint-Florent-sur-Cher;0;0;0;0;0
2016-09;0087783175;Saint-Flour - Chaudes-Aigues;0;0;0;8;8
2016-09;0087182139;Saint-Louis;12;2;0;23;9
2016-09;0087478107;Saint-Malo;57;88;6;268;117
2016-09;0087481705;Saint-Nazaire;43;45;4;177;85
2016-09;0087757526;Saint-Raphaël Valescure;52;247;7;497;191
2016-09;0087746438;Sallanches - Combloux - Megève;1;4;0;11;6
2016-09;0087193615;Sarreguemines;26;5;0;41;10
2016-09;0087481838;Savenay;7;2;0;34;25
2016-09;0087576868;Selles-sur-Cher;0;0;0;0;0
2016-09;0087683003;Sens;20;4;1;35;10
2016-09;0087713677;Seurre;0;0;0;0;0
2016-09;0087396234;Sillé-le-Guillaume;31;4;0;48;13
2016-09;0087751206;Sisteron;1;1;0;5;3
2016-09;0087271817;Soissons;3;0;0;3;0
2016-09;0087671008;Tarbes;29;35;0;181;117
2016-09;0087734475;Thiers;0;0;0;4;4
2016-09;0087191007;Thionville;33;18;0;74;23
2016-09;0087611004;Toulouse Matabiau;405;414;22;2330;1489
2016-09;0087286542;Tourcoing;19;10;2;45;14
2016-09;0087571000;Tours;204;81;18;662;359
2016-09;0087543074;Toury;0;0;0;2;2
2016-09;0087476606;Vannes;56;78;2;235;99
2016-09;0087393009;Versailles Chantiers;21;13;0;51;17
2016-09;0087683219;Villeneuve-sur-Yonne;3;0;0;5;2
2016-09;0087271734;Villers-Cotterêts;0;0;0;0;0
2016-09;0087613661;Viviez - Decazeville;0;1;0;2;1
2016-09;0087545707;Voves;0;1;0;1;0
