Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00194;Mandelieu-la-Napoule;Mandelieu-la-Napoule;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;MANDELIEU LA NAPOULE GARE;1;1;Mandelieu-la-Napoule;06210;Mandelieu-la-Napoule;06-079;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;6.941313;43.523903;0087757591;MPV;b;1;;Gare Mandelieu La Napoule;;43.523903, 6.941313
00173;Saint-Hilaire - Saint-Nazaire;Saint-Hilaire - Saint-Nazaire;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;SAINT HILAIRE ST NAZAIRE GARE;1;1;Saint-Hilaire - Saint-Nazaire;38330;Saint-Hilaire-du-Rosier;38-394;Isère;Auvergne-Rhône-Alpes;5.243851;45.0713405;0087761684;SHN;c;1;;GARES C RHONE ALPES;;45.0713405, 5.243851
00174;Romans - Bourg-de-Péage;Romans - Bourg-de-Péage;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;ROMANS BOURG DE PEAGE GARE;1;1;Romans - Bourg-de-Péage;26300;Romans-sur-Isère;26-281;Drôme;Auvergne-Rhône-Alpes;5.049800;45.048857;0087761650;ROM;b;1;;Gare Romans Bourg de Péage;;45.048857, 5.0498
00180;Saint-Rambert-d'Albon;Saint-Rambert-d'Albon;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;SAINT RAMBERT D ALBON P GARE;1;1;Saint-Rambert-d'Albon;26140;Saint-Rambert-d'Albon;26-325;Drôme;Auvergne-Rhône-Alpes;4.810849;45.297797;0087761106;SRA;b;1;;Gare St Rambert d'Albon;;45.297797, 4.810849
00183;Picon Busserine;Picon Busserine;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Régionale PA;PICON BUSSERINE GARE;1;1;Picon Busserine;13014;Marseille;13-055;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;5.3927456;43.3309989;0087759290;XPC;c;1;;GARES C PACA;;43.3309989, 5.3927456
00196;Le Trayas;Le Trayas;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;LE TRAYAS GARE;1;1;Le Trayas;83700;Saint-Raphaël;83-118;Var;Provence-Alpes-Côte d'Azur;6.9243444;43.4746639;0087757575;TYA;c;1;;GARES C PACA;;43.4746639, 6.9243444
00176;Livron;Livron;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;LIVRON GARE;1;1;Livron;26250;Livron-sur-Drôme;26-165;Drôme;Auvergne-Rhône-Alpes;4.8305412;44.7796035;0087761247;LIV;c;1;;GARES C RHONE ALPES;;44.7796035, 4.8305412
00168;Crest;Crest;Yes;No;Agence Centre Est Rhône Alpin;REGION RHONE-ALPES;UG Drôme Ardèche;CREST GARE;1;1;Crest;26400;Crest;26-108;Drôme;Auvergne-Rhône-Alpes;5.0160968;44.7301546;0087761783;CRE;c;1;;GARES C RHONE ALPES;;44.7301546, 5.0160968
00170;Poliénas;Poliénas;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;POLIENAS GARE;1;1;Poliénas;38210;Poliénas;38-310;Isère;Auvergne-Rhône-Alpes;5.4735849;45.256006;0087761742;POS;c;1;;GARES C RHONE ALPES;;45.256006, 5.4735849
00171;Vinay;Vinay;Yes;No;Agence Centre Est Rhône Alpin;REGION ALPES;UG Alpes;VINAY GARE;1;1;Vinay;38470;Vinay;38-559;Isère;Auvergne-Rhône-Alpes;5.41005;45.20797;0087761726;VNA;b;1;;Gare Vinay;;45.20797, 5.41005
00220;Roquebrune-Cap-Martin;Roquebrune-Cap-Martin;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;CAP MARTIN ROQUEBRUNE GARE;1;1;Roquebrune-Cap-Martin;06190;Roquebrune-Cap-Martin;06-104;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.457343;43.7606178;0087756460;CQR;c;1;;GARES C PACA;;43.7606178, 7.457343
00214;Peillon - Sainte-Thècle;Peillon - Sainte-Thècle;Yes;No;Agence Grand Sud;REGION PROVENCE ALPES COTE D'AZUR;UG Côte d'Azur;PEILLON STE THECLE GARE;1;1;Peillon - Sainte-Thècle;06440;Peillon;06-092;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;7.366807;43.767846;0087756783;PXT;c;1;;GARES C PACA;;43.767846, 7.366807
