UIC;Gare enquêtée;Gpe intermodalités usagers;Répartition;Année
113001;Paris Est;Voiture conducteur;1;2012
141002;Nancy;Bus/Car/Navette;20;2014
113001;Paris Est;Vélo;1;2012
118000;Troyes;Marche;32;2015
;Paris Bercy;Marche;11;2012
;Paris Bercy;Taxis;4;2012
411017;Rouen Rive Droite;Voiture conducteur;6;2014
444877;Cherbourg;2 roues motorisées;0;2015
444877;Cherbourg;Bus/Car/Navette;11;2015
444877;Cherbourg;Voiture passager;22;2015
411017;Rouen Rive Droite;Marche;33;2014
396002;Le Mans;Voiture passager;6;2015
444000;Caen;2 roues motorisées;0;2012
444000;Caen;Voiture passager;21;2012
444877;Cherbourg;Marche;30;2015
444000;Caen;Vélo;2;2012
319012;Aix en Provence-TGV;Autres voitures ( location, autopartage);7;2015
763029;Valence TGV Rhône-Alpes Sud;Bus/Car/Navette;9;2015
763029;Valence TGV Rhône-Alpes Sud;Voiture passager;38;2015
775007;Nîmes;Autres voitures ( location, autopartage);2;2014
773002;Montpellier Saint-Roch;2 roues motorisées;0;2015
773002;Montpellier Saint-Roch;Tramway;46;2015
773002;Montpellier Saint-Roch;Taxis;2;2015
784009;Perpignan;Voiture conducteur;14;2016
784009;Perpignan;Bus/Car/Navette;21;2016
212027;Strasbourg;Bus/Car/Navette;11;2016
182063;Mulhouse;Bus/Car/Navette;11;2014
141002;Nancy;Voiture conducteur;6;2014
192039;Metz;Voiture conducteur;14;2016
171009;Reims;Bus/Car/Navette;15;2016
141002;Nancy;Voiture passager;11;2014
182063;Mulhouse;Tramway;29;2014
192039;Metz;Tramway;13;2016
192039;Metz;Taxis;1;2016
391003;Paris Montparnasse 1 et 2 + Vaugirard;2 roues motorisées;1;2012
396002;Le Mans;Autres voitures ( location, autopartage);2;2015
300822;Belfort Montbéliard TGV;Voiture conducteur;36;2015
319012;Aix en Provence-TGV;Voiture passager;34;2015
384008;Paris St Lazare;Bus/Car/Navette;6;2013
396002;Le Mans;Voiture conducteur;14;2015
319012;Aix en Provence-TGV;Taxis;6;2015
384008;Paris St Lazare;Marche;23;2013
384008;Paris St Lazare;Taxis;0;2013
396002;Le Mans;Tramway;46;2015
300822;Belfort Montbéliard TGV;Bus/Car/Navette;18;2015
271494;Aéroport Charles de Gaulle 2 TGV;Marche;28;2013
271494;Aéroport Charles de Gaulle 2 TGV;Taxis;5;2013
286005;Lille Flandres;Bus/Car/Navette;5;2013
142109;Lorraine TGV;Voiture conducteur;47;2017
300822;Belfort Montbéliard TGV;Taxis;9;2015
271007;Paris Nord;Voiture passager;1;2012
