"Code_UIC","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil"
"386052","0","0","0","0"
"741132","61","36","33","3"
"582668","35","8","23","0"
"597120","8","0","0","0"
"192401","0","0","0","0"
"545251","0","0","0","0"
"751750","24","44","10","1"
"295600","40","10","12","0"
"476200","98","42","60","1"
"276543","0","0","0","0"
"381038","0","0","0","0"
"187971","8","18","2","0"
"584268","48","7","10","0"
"574004","96","22","40","10"
"381152","0","0","0","0"
"113407","0","3","0","0"
"576207","121","37","21","2"
"723429","9","11","3","0"
"594002","156","47","52","7"
"394452","0","0","0","0"
"317263","25","15","12","0"
"613356","2","0","0","0"
"696492","0","2","0","0"
"382655","0","4","0","0"
"174003","18","8","12","0"
"393058","0","0","0","0"
"694778","0","0","0","0"
"393173","0","0","0","0"
"382333","0","0","0","0"
"116111","3","0","0","0"
"545285","0","0","0","0"
"682146","0","9","0","0"
"116301","3","0","0","0"
"276006","9","14","4","0"
"673202","155","62","89","0"
"696484","14","38","0","0"
"393488","12","7","0","0"
"276022","1","0","0","0"
"144006","85","31","12","1"
"313387","0","0","0","0"
"317065","2","1","2","0"
"393405","0","0","0","0"
"193003","28","24","4","1"
"715136","28","5","9","0"
"271205","0","0","0","0"
"576876","1","1","1","0"
"172130","0","1","0","0"
"747006","360","345","169","12"
"381889","3","1","0","0"
"393033","3","0","0","0"
"734202","9","15","3","0"
"393074","0","0","0","0"
"545301","0","0","0","0"
"175091","5","0","1","0"
"545244","0","0","0","0"
"271171","0","0","0","0"
"481754","54","19","77","2"
"271304","0","1","0","0"
"386003","0","8","1","0"
"164798","0","42","0","0"
"393256","0","0","0","0"
"473223","23","5","14","0"
"721431","3","0","0","0"
"486449","29","15","13","1"
"382473","0","0","0","0"
"734442","1","0","0","0"
"584052","78","15","18","3"
"571471","2","0","0","0"
"476002","112","99","59","3"
"282624","1","9","0","0"
"721001","0","0","0","0"
"725705","26","30","41","5"
"681155","0","0","0","0"
"684415","0","0","0","0"
"751321","6","2","1","1"
"111849","502","448","269","15"
"682005","1","0","0","0"
"783605","7","2","0","0"
"611889","2","0","3","0"
"214577","6","3","1","0"
"756403","7","5","23","0"
"713131","37","3","12","1"
"381160","0","0","0","0"
"741181","0","0","0","0"
"718833","26","10","3","0"
"696328","73","21","16","0"
"741728","13","7","18","1"
"182063","232","126","51","4"
"116095","0","0","0","0"
"116558","0","0","0","0"
"615732","0","0","0","0"
"756056","309","136","186","7"
"276758","0","0","0","0"
"765107","38","10","6","0"
"543009","246","91","58","9"
"546200","0","0","0","0"
"672253","31","8","5","0"
"686667","261","78","88","14"
"391102","87","51","52","1"
"381012","0","0","0","0"
"595009","83","21","20","2"
"276097","0","0","0","0"
"141820","4","22","0","0"
"747493","1","0","0","0"
"276139","1","0","0","0"
"571794","2","0","0","0"
"144451","16","3","2","0"
"172080","0","0","0","0"
"734053","40","2","5","0"
"113696","0","0","0","0"
"382358","2","8","1","0"
"543116","0","0","0","0"
"545210","0","0","0","0"
"575050","1","0","0","0"
"576272","0","0","0","0"
"732206","13","0","2","0"
"366922","0","0","0","0"
"746479","13","6","6","0"
"486571","12","4","10","1"
"182139","6","9","0","0"
"761718","4","0","1","0"
"547315","2","0","0","0"
"571240","789","289","257","38"
"381186","0","0","0","0"
"276386","0","0","0","0"
"713677","0","0","8","0"
"271429","0","2","0","0"
"393124","0","0","0","0"
"396234","5","8","7","0"
"271817","1","14","2","0"
"382374","0","3","0","0"
"671008","79","47","28","1"
"313882","89","50","57","1"
"734475","2","0","0","0"
"286542","27","41","12","0"
"381178","0","0","0","0"
"761007","219","91","39","1"
"611863","6","0","0","0"
"343004","65","50","19","0"
"391532","0","0","0","0"
"393157","0","0","0","0"
"763300","6","0","3","0"
"723759","2","0","0","0"
"545277","0","0","0","0"
"681825","0","0","0","0"
"683219","0","0","0","0"
