"RangVariations","RangNbVoy","Code_UIC","Nom_de_la_gare","voyageurs_2016","voyageurs_2015","Variations","Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Communication_perturbations","Proprete","Securite","Confort_d_attente","Commerces_restauration","MoyenneDistance","Assistance_simple","Rampe","Fauteuil","Rampe_et_fauteuil","score_pmr13","Demarches_administratives_medicales_ou_achat","Deplacement_domicile_travail_habituel","Deplacement_domicile_etude_y_compris_stage","Deplacement_professionnel_occasionnel","Loisirs_vacances_visite_d_un_proche_ou_ami","c0_19","c20_29","c30_39","c40_49","c50_59","c60","deux_roues_motorisees","Autres_voitures_location_autopartage","Bus_Car_Navette","Marche","Metro_RER","Taxis","Tramway","Voiture_Conducteur","Voiture_passager","Velo","Wifi","Taux_conformite_proprete","Piano","Power_Station","Baby_Foot","Distr_Histoires_Courtes"
"1","53","784009","Perpignan","1948294","1655190","0.1770817851726992","Perpignan","Pyrénées-Orientales","Occitanie","2.879779","42.696292","7.5","7.63","7.69","7.31","7.54","3.64","202","105","114","4","7","6","22","8","17","47","21.9","18.9","7.79","14.5","14.9","22","1","1","21","32","0","3","0","14","27","1","true","96.8","0","0","0","1"
"2","85","474098","Quimper","1054026","908486","0.16020059747756157","Quimper","Finistère","Bretagne","-4.092103","47.994455","7.74","7.83","7.93","7.68","7.85","","183","73","97","8","6","","","","","","","","","","","","","","","","","","","","","","true","98.6","0","0","0","1"
"3","64","781104","Narbonne","1515883","1364030","0.11132673035050548","Narbonne","Aude","Occitanie","3.005910","43.190387","6.95","7.28","7.22","6.71","7.29","","312","74","110","4","7","","","","","","","","","","","","","","","","","","","","","","true","93.4","","","",""
"4","32","726000","Saint-Étienne Châteaucreux","3853846","3471228","0.11022554554180826","Saint-Étienne","Loire","Auvergne-Rhône-Alpes","4.399722","45.443366","6.83","7.64","7.37","6.46","7.46","","168","79","83","5","6","","","","","","","","","","","","","","","","","","","","","","true","89.9","0","3","1","0"
"5","27","571000","Tours","5156584","4664457","0.10550574268344633","Tours","Indre-et-Loire","Centre-Val de Loire","0.693703","47.389781","7.16","8.19","7.65","7.64","7.51","2.38","397","301","103","22","8","3","42","13","20","21","17.3","24.7","10.9","18.1","14.6","14.3","0","0","12","47","0","1","19","6","7","7","true","95.6","1","0","1","1"
"6","66","781005","Béziers","1387028","1266592","0.09508665773982466","Béziers","Hérault","Occitanie","3.218873","43.336330","5.66","8.24","6.79","6.07","6.1","","205","63","92","3","6","","","","","","","","","","","","","","","","","","","","","","true","96.9","","","",""
"7","21","722025","Lyon Perrache","6111077","5673875","0.07705527527483422","Lyon","Rhône","Auvergne-Rhône-Alpes","4.825733","45.748476","6.78","7.38","7.51","6.79","7.00","2.18","258","76","108","3","7","4","53","18","13","13","11","26.6","17.8","18.2","16","10.1","0","0","11","33","29","2","13","6","5","1","true","98.3","1","3","1","1"
"8","127","324095","Futuroscope","163557","152874","0.06988107853526433","Chasseneuil-du-Poitou","Vienne","Nouvelle-Aquitaine","0.377209","46.669918","7.05","8.53","7.8","7.3","6.06","","1","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","false","","","","",""
"9","126","147322","Meuse TGV","178894","169443","0.0557768689175711","Trois-Domaines","Meuse","Grand Est","5.270954","48.978549","7.71","8.62","8.17","7.52","7.68","","37","12","13","1","4","","","","","","","","","","","","","","","","","","","","","","true","95.2","","","",""
"10","52","393702","Massy TGV","2013034","1906692","0.05577303518344861","Massy","Essonne","Île-de-France","2.261254","48.725758","6.9","7.19","6.98","6.5","6.69","4.87","257","114","175","5","7","0","8","1","62","29","5.08","21.9","19.3","21.1","21.2","10.1","0","0","20","12","22","10","0","36","0","0","true","96.8","1","2","0","1"
"11","88","764001","Montélimar","973907","922721","0.05547288942161282","Montélimar","Drôme","Auvergne-Rhône-Alpes","4.744792","44.559079","7.5","8.07","8.1","7.37","7.67","","97","46","40","2","4","","","","","","","","","","","","","","","","","","","","","","true","89.8","","","",""
"12","70","745000","Bellegarde","1256178","1197657","0.0488629048216643","Bellegarde-sur-Valserine","Ain","Auvergne-Rhône-Alpes","5.823483","46.109425","7.28","8.17","7.95","7.58","7.81","","174","58","74","3","6","","","","","","","","","","","","","","","","","","","","","","true","97.3","1","0","0","0"
"13","119","481754","La Baule Escoublac","411110","392277","0.048009442307349146","Baule-Escoublac","Loire-Atlantique","Pays de la Loire","-2.389102","47.288690","7.84","8.4","8.03","7.39","7.75","","54","19","77","2","4","","","","","","","","","","","","","","","","","","","","","","true","93.8","1","0","0","0"
"14","124","741793","Bourg Saint Maurice","301649","288446","0.04577286563169536","Bourg-Saint-Maurice","Savoie","Auvergne-Rhône-Alpes","6.771273","45.619036","7.92","8.15","8.26","7.9","8.29","","11","6","23","3","4","","","","","","","","","","","","","","","","","","","","","","true","95.3","1","0","1","0"
"15","30","775007","Nîmes","4006003","3836768","0.04410873943902785","Nîmes","Gard","Occitanie","4.365845","43.832291","6.35","7.97","7.44","7.19","7.04","3.81","613","147","212","15","8","2","25","16","19","37","21.9","24.4","12.7","13.3","11.2","16.4","1","2","21","40","0","3","0","11","18","4","true","97.1","1","0","0","1"
"16","12","481002","Nantes","11009424","10592389","0.039371193788294595","Nantes","Loire-Atlantique","Pays de la Loire","-1.542356","47.216148","6.65","7.65","7.51","6.45","6.99","3.84","1298","478","539","33","12","1","39","10","22","26","9.15","23.8","15.2","17.5","18.1","15.2","0","0","20","17","0","5","30","20","5","3","true","93.8","1","3","1","1"
"17","71","485300","Niort","1249055","1203244","0.03807290956780171","Niort","Deux-Sèvres","Nouvelle-Aquitaine","-0.454639","46.319491","7.01","7.75","7.25","6.91","7.52","","84","34","49","5","4","","","","","","","","","","","","","","","","","","","","","","true","97.2","0","1","0","0"
"18","14","471003","Rennes","9531299","9252974","0.030079518217602255","Rennes","Ille-et-Vilaine","Bretagne","-1.672744","48.103517","6.42","7.54","7.22","5.69","7.22","3.09","1277","454","517","17","11","2","37","11","21","28","12.5","25","14.9","16.3","16.9","13.9","0","1","10","22","41","5","0","6","11","3","true","87.1","1","1","1","1"
"19","15","773002","Montpellier Saint-Roch","8222823","8008942","0.026705275178669042","Montpellier","Hérault","Occitanie","3.880674","43.604738","7.00","7.97","7.64","7.47","7.06","1.62","954","410","504","6","10","4","21","18","20","37","14.6","29.8","15.4","11.9","13.5","14.6","0","1","4","31","0","2","46","3","11","2","true","89","1","0","0","1"
"20","57","583005","Angoulême","1646983","1606006","0.025514848636929127","Angoulême","Charente","Nouvelle-Aquitaine","0.164608","45.653572","6.99","7.51","7.14","6.83","5.37","3.59","306","85","152","10","7","0","19","20","16","45","18.1","25.5","13.9","11.7","11.3","17","0","4","24","16","0","4","0","15","37","0","true","91.4","","","",""
"21","74","478404","Laval","1232614","1202464","0.025073515714399766","Laval","Mayenne","Pays de la Loire","-0.760907","48.076206","6.65","7.2","6.98","6.04","7.05","3.14","184","46","38","6","5","3","37","12","18","29","11.2","23.9","16.1","15.2","14.6","19","1","0","11","27","0","7","0","25","29","2","false","94.4","1","0","0","0"
"22","84","773200","Sète","1059750","1034027","0.02487652643499638","Sète","Hérault","Occitanie","3.696560","43.412485","7.3","7.36","7.2","7.2","7.39","","95","22","49","2","4","","","","","","","","","","","","","","","","","","","","","","true","93.4","","","",""
"23","2","384008","Paris St Lazare","107941079","105324691","0.024841164736956124","Paris","Paris","Île-de-France","2.325331","48.876242","7.13","7.59","7.26","6.3","7.13","1.88","526","355","247","37","9","4","65","10","6","14","7.73","30.1","21.4","17.9","14.7","7.06","0","0","6","23","70","0","0","0","0","0","true","95.3","1","3","0","1"
"24","10","581009","Bordeaux Saint-Jean","12253951","11975482","0.023253260286308308","Bordeaux","Gironde","Nouvelle-Aquitaine","-0.556697","44.825873","7.14","7.57","7.76","7.26","7.67","3.67","2121","694","897","62","13","3","17","20","22","38","17.2","25.4","14.9","13.6","15.2","13.7","0","1","19","20","0","2","29","5","25","0","true","93.1","2","2","1","1"
"25","112","473207","Guingamp","564349","552951","0.02061303804496239","Guingamp","Côtes-d'Armor","Bretagne","-3.143343","48.555659","7.66","8.31","7.68","7.69","7.7","","76","23","57","3","4","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
"26","75","473009","Saint-Brieuc","1226890","1204510","0.01858016952951823","Saint-Brieuc","Côtes-d'Armor","Bretagne","-2.765000","48.507580","6.7","7.39","6.84","6.1","6.63","","161","39","63","1","5","","","","","","","","","","","","","","","","","","","","","","false","89.4","0","1","1","1"
"27","8","212027","Strasbourg","18336028","18053898","0.015627096153971846","Strasbourg","Bas-Rhin","Grand Est","7.734584","48.584967","7.32","7.92","7.84","7.24","7.93","2.33","692","556","354","26","9","3","42","24","15","16","29.72","44.5","22.47","22.93","20.22","15.65","0","1","11","27","0","2","41","4","6","9","true","94.5","1","3","1","1"
"28","114","474338","Morlaix","532424","524505","0.015098044823214269","Morlaix","Finistère","Bretagne","-3.832514","48.577970","7.13","7.55","7.5","6.16","7.18","","78","51","39","0","4","","","","","","","","","","","","","","","","","","","","","","true","91.6","","","",""
"29","99","476200","Auray","774212","765825","0.010951588156563184","Auray","Morbihan","Bretagne","-2.999995","47.68022","7.46","7.84","7.61","7.06","7.77","","98","42","60","1","4","","","","","","","","","","","","","","","","","","","","","","true","94.8","","","",""
"30","39","755009","Toulon","3378984","3344004","0.010460513803213153","Toulon","Var","Provence-Alpes-Côte d'Azur","5.929293","43.128370","7.2","7.7","7.59","7.71","7.62","3.33","409","146","297","10","7","3","15","16","11","56","16.2","29","14","10.9","11.1","18.8","1","1","23","30","0","4","0","10","30","1","true","93.1","1","0","0","0"
"31","63","345025","Lens","1581057","1564829","0.010370462203857417","Lens","Pas-de-Calais","Hauts-de-France","2.828254","50.426818","7.53","8.05","7.5","7.42","8.31","2.01","17","23","6","4","4","3","40","28","5","23","25.4","30.1","16.9","11.2","9.51","6.96","0","2","33","32","0","2","0","12","18","1","true","92.7","0","0","1","0"
"32","58","474007","Brest","1634475","1618007","0.010177953494638774","Brest","Finistère","Bretagne","-4.478903","48.388110","7.4","8.22","7.6","7.33","7.73","","129","81","88","0","5","","","","","","","","","","","","","","","","","","","","","","true","94.7","1","0","0","1"
"33","67","476606","Vannes","1328851","1317075","0.008941024618947288","Vannes","Morbihan","Bretagne","-2.752450","47.665169","7.23","7.84","7.56","7.12","7.48","","149","63","85","2","6","","","","","","","","","","","","","","","","","","","","","","true","92.7","1","0","0","0"
"34","13","611004","Toulouse Matabiau","10035656","9961154","0.007479253909737768","Toulouse","Haute-Garonne","Occitanie","1.453616","43.611206","6.93","7.79","7.59","6.81","7.35","3.27","1930","420","519","25","12","6","24","22","16","33","15.1","27.7","17.2","13.6","11.8","14.7","0","1","12","19","55","1","0","4","7","2","true","98.2","1","2","1","1"
"35","95","576009","Vierzon Ville","814009","808857","0.00636948187380464","Vierzon","Cher","Centre-Val de Loire","2.059822","47.226497","6.76","7.86","6.98","6.83","7.76","","178","46","23","3","5","","","","","","","","","","","","","","","","","","","","","","true","96.9","","","",""
"36","25","484006","Angers Saint Laud","5318581","5284928","0.00636773102679923","Angers","Maine-et-Loire","Pays de la Loire","-0.556820","47.464647","7.67","7.85","7.84","7.28","7.92","3.69","676","243","214","31","9","2","41","12","25","19","16","20.1","13.1","16.8","16.8","17.2","0","3","17","31","0","4","15","16","10","3","true","90.4","1","0","1","1"
"37","31","342014","Arras","3994260","3972158","0.00556422982167376","Arras","Pas-de-Calais","Hauts-de-France","2.781942","50.286673","6.96","7.96","7.83","7.38","7.58","","141","93","71","5","6","","","","","","","","","","","","","","","","","","","","","","true","92.7","","","",""
"38","28","396002","Le Mans","4928529","4914325","0.0028903257314076706","Mans","Sarthe","Pays de la Loire","0.192578","47.995689","7.36","8.01","7.71","7.4","7.72","3.27","682","226","260","17","8","4","37","15","20","24","15.4","19.4","13.9","17.5","19.4","14.5","1","2","4","24","0","1","46","14","6","3","true","92","0","0","0","1"
"39","83","444265","Lisieux","1066761","1064978","0.0016742129884373198","Lisieux","Calvados","Normandie","0.231143","49.138299","7.06","7.24","6.92","6.58","7.61","","72","31","47","10","4","","","","","","","","","","","","","","","","","","","","","","true","","0","0","1","0"
"40","80","478107","Saint-Malo","1090420","1090006","0.00037981442303987317","Saint-Malo","Ille-et-Vilaine","Bretagne","-2.004158","48.646859","7.43","8.04","7.54","7.21","7.27","","97","57","64","0","4","","","","","","","","","","","","","","","","","","","","","","true","","","","",""
