"Commune","Departement","Region","Longitude_WGS84","Latitude_WGS84","Code_UIC"
"Mandelieu-la-Napoule","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","6.941313","43.523903","757591"
"Saint-Hilaire-du-Rosier","Isère","Auvergne-Rhône-Alpes","5.243851","45.0713405","761684"
"Romans-sur-Isère","Drôme","Auvergne-Rhône-Alpes","5.049800","45.048857","761650"
"Saint-Rambert-d'Albon","Drôme","Auvergne-Rhône-Alpes","4.810849","45.297797","761106"
"Marseille","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.3927456","43.3309989","759290"
"Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","6.9243444","43.4746639","757575"
"Livron-sur-Drôme","Drôme","Auvergne-Rhône-Alpes","4.8305412","44.7796035","761247"
"Crest","Drôme","Auvergne-Rhône-Alpes","5.0160968","44.7301546","761783"
"Poliénas","Isère","Auvergne-Rhône-Alpes","5.4735849","45.256006","761742"
"Vinay","Isère","Auvergne-Rhône-Alpes","5.41005","45.20797","761726"
"Roquebrune-Cap-Martin","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.457343","43.7606178","756460"
"Peillon","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.366807","43.767846","756783"
"Trinité","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.3114604","43.7427854","756767"
"Arcs","Var","Provence-Alpes-Côte d'Azur","6.482498","43.455524","755447"
"Cuers","Var","Provence-Alpes-Côte d'Azur","6.0856855","43.2364281","755355"
"Saint-Raphaël","Var","Provence-Alpes-Côte d'Azur","6.8442467","43.4178193","757542"
"Peille","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.3800257","43.7920239","756791"
"Vidauban","Var","Provence-Alpes-Côte d'Azur","6.4338501","43.4309416","755421"
"Pignans","Var","Provence-Alpes-Côte d'Azur","6.2248459","43.298475","755389"
"Fréjus","Var","Provence-Alpes-Côte d'Azur","6.7551022","43.4288632","757518"
"Manosque","Alpes-de-Haute-Provence","Provence-Alpes-Côte d'Azur","5.7933241","43.8231945","751321"
"Trinité","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","7.3025298","43.7343716","751529"
"Gières","Isère","Auvergne-Rhône-Alpes","5.784740","45.184877","747402"
"Chamonix-Mont-Blanc","Haute-Savoie","Auvergne-Rhône-Alpes","6.9264844","45.9819438","746859"
"Meyrargues","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","5.5395738","43.6440076","751370"
"Vallorcine","Haute-Savoie","Auvergne-Rhône-Alpes","6.9204119","46.018805","746883"
"Clelles","Isère","Auvergne-Rhône-Alpes","5.6050622","44.8272443","747626"
"Grenoble","Isère","Auvergne-Rhône-Alpes","5.714584","45.191493","747006"
"Argentière-la-Bessée","Hautes-Alpes","Provence-Alpes-Côte d'Azur","6.5564162","44.7909802","763557"
"Eygliers","Hautes-Alpes","Provence-Alpes-Côte d'Azur","6.6156027","44.6746283","763508"
"Fons","Gard","Occitanie","4.2066687","43.9073195","775379"
"Pierrelatte","Drôme","Auvergne-Rhône-Alpes","4.703783","44.374719","764308"
"Saint-Aunès","Hérault","Occitanie","3.9628994","43.6354383","773465"
"Donzère","Drôme","Auvergne-Rhône-Alpes","4.7046262","44.4433646","764290"
"Villefort","Lozère","Occitanie","3.9240146","44.4395099","775197"
"Grand-Combe","Gard","Occitanie","4.0102736","44.228602","775247"
"Génolhac","Gard","Occitanie","3.9516407","44.3471626","775213"
"Uchaud","Gard","Occitanie","4.2683101","43.7583991","775106"
"Saint-Georges-de-Luzençon","Aveyron","Occitanie","2.983784","44.066553","783423"
"Saint-Féliu-d'Avall","Pyrénées-Orientales","Occitanie","2.7378217","42.6772874","784520"
"Tournemire","Aveyron","Occitanie","3.0166261","43.9698002","783456"
"Port-la-Nouvelle","Aude","Occitanie","3.0388188","43.0199342","781062"
"Peyre en Aubrac","Lozère","Occitanie","3.2835489","44.7181699","783266"
"Rivesaltes","Pyrénées-Orientales","Occitanie","2.86789","42.7664405","784173"
"Serdinya","Pyrénées-Orientales","Occitanie","2.3111464","42.5615245","784710"
"Cailar","Gard","Occitanie","4.2354236","43.6834141","775825"
"Vauvert","Gard","Occitanie","4.270165","43.6950375","775817"
