Code UIC;Communication perturbations;Propreté;Sécurité;Confort d'attente;Commerces & restauration
271494;7.61;7.55;7.67;7.25;7.53
319012;7.66;8.00;7.97;7.64;7.95
313874;7.18;7.2;6.94;6.75;7.36
484006;7.67;7.85;7.84;7.28;7.92
318964;7.00;8.29;7.98;7.47;7.72
581009;7.14;7.57;7.76;7.26;7.67
713040;7.00;7.83;7.51;7.19;7.25
747006;6.11;6.96;7.1;6.28;6.98
396002;7.36;8.01;7.71;7.4;7.72
223263;6.54;7.47;7.77;6.96;7.36
286005;7.59;7.83;7.81;7.66;7.79
723197;6.65;7.3;7.51;6.56;7.26
722025;6.78;7.38;7.51;6.79;7.00
11849;6.69;7.58;7.63;7.13;6.82
751008;6.7;7.2;7.25;6.63;7.37
192039;6.42;8.02;7.75;7.24;7.93
773002;7.00;7.97;7.64;7.47;7.06
182063;7.48;7.73;7.58;7.16;7.75
141002;6.63;8.22;6.76;6.74;7.00
481002;6.65;7.65;7.51;6.45;6.99
756056;6.41;7.89;7.36;6.59;6.57
547000;6.93;6.91;7.2;6.9;6.8
113001;6.93;7.47;7.52;6.63;7.27
686006;6.76;7.58;7.37;6.62;7.04
391003;6.74;7.18;7.3;6.51;7.12
271007;6.99;6.64;6.91;5.84;6.84
384008;7.13;7.59;7.26;6.3;7.13
471003;6.42;7.54;7.22;5.69;7.22
411017;6.74;7.00;7.45;6.25;7.69
571240;7.72;7.5;7.02;7.1;7.63
212027;7.32;7.92;7.84;7.24;7.93
611004;6.93;7.79;7.59;6.81;7.35
571000;7.16;8.19;7.65;7.64;7.51
781278;7.88;8.11;7.43;8.05;7.62
586008;6.64;7.68;7.42;6.52;7.75
741132;7.17;8.32;7.63;7.33;7.8
583005;6.99;7.51;7.14;6.83;5.37
746008;7.06;8.03;7.68;7.26;7.77
757674;6.82;6.68;5.49;5.63;6.43
342014;6.96;7.96;7.83;7.38;7.58
476200;7.46;7.84;7.61;7.06;7.77
673004;7.27;7.19;7.64;6.75;8.31
184002;6.83;7.41;6.87;6.73;7.6
300822;7.84;8.76;8.19;8.41;7.88
745000;7.28;8.17;7.95;7.58;7.81
300863;7.54;8.77;8.04;8.1;7.91
718007;7.91;8.07;7.94;8.03;7.78
