UIC;Gare enquêtée;Classe d'âge;Pourcentage;Année
271494;Aéroport Charles de Gaulle 2 TGV;20 ans à 29 ans;6.58;2013
484006;Angers Saint Laud;50 ans à 59 ans;16.8;2015
484006;Angers Saint Laud;19 ans et moins;16.0;2015
318964;Avignon TGV;20 ans à 29 ans;21.1;2015
583005;Angoulême;30 ans à 39 ans;13.9;2012
583005;Angoulême;50 ans à 59 ans;11.3;2012
313874;Amiens;20 ans à 29 ans;32.2;2015
753657;Arles;50 ans à 59 ans;13.0;2014
753657;Arles;20 ans à 29 ans;23.5;2014
271494;Aéroport Charles de Gaulle 2 TGV;60 ans et plus;3.9;2013
300863;Besançon Franche-Comté TGV;50 ans à 59 ans;14.5;2015
300822;Belfort Montbéliard TGV;19 ans et moins;4.92;2015
581009;Bordeaux Saint-Jean;50 ans à 59 ans;15.2;2014
581009;Bordeaux Saint-Jean;19 ans et moins;17.2;2014
673400;Biarritz;40 ans à 49 ans;14.3;2016
757625;Cannes;19 ans et moins;31.2;2015
444000;Caen;50 ans à 59 ans;16.3;2012
444000;Caen;20 ans à 29 ans;24.7;2012
444000;Caen;Non communiqué;0.5;2012
762906;Lyon Saint Exupery TGV;30 ans à 39 ans;21.5;2016
762906;Lyon Saint Exupery TGV;19 ans et moins;2.8;2016
723197;Lyon Part Dieu;40 ans à 49 ans;15.8;2011
286005;Lille Flandres;19 ans et moins;15.3;2013
286005;Lille Flandres;60 ans et plus;7.57;2013
722025;Lyon Perrache;30 ans à 39 ans;17.8;2011
722025;Lyon Perrache;20 ans à 29 ans;26.6;2011
142109;Lorraine TGV;19 ans et moins;3.22;2017
223263;Lille Europe;60 ans et plus;12.6;2013
476002;Lorient;60 ans et plus;16.3;2010
111849;Marne la Vallée Chessy;19 ans et moins;0.38;2013
751008;Marseille Saint-Charles;30 ans à 39 ans;17.3;2013
773002;Montpellier Saint-Roch;19 ans et moins;14.6;2015
111849;Marne la Vallée Chessy;60 ans et plus;1.69;2013
751008;Marseille Saint-Charles;20 ans à 29 ans;28.9;2013
773002;Montpellier Saint-Roch;60 ans et plus;14.6;2015
751008;Marseille Saint-Charles;60 ans et plus;12.3;2013
393702;Massy TGV;40 ans à 49 ans;21.1;2013
393702;Massy TGV;Non communiqué;1.24;2013
192039;Metz;19 ans et moins;14.0;2016
411017;Rouen Rive Droite;40 ans à 49 ans;11.9;2014
384008;Paris St Lazare;19 ans et moins;7.73;2013
384008;Paris St Lazare;60 ans et plus;7.06;2013
784009;Perpignan;19 ans et moins;21.9;2016
575001;Poitiers;60 ans et plus;13.8;2015
755009;Toulon;19 ans et moins;16.2;2014
755009;Toulon;20 ans à 29 ans;29.0;2014
171009;Reims;30 ans à 39 ans;14.3;2016
571000;Tours;40 ans à 49 ans;18.1;2016
571000;Tours;19 ans et moins;17.3;2016
391003;Paris Montparnasse 1 et 2 + Vaugirard;19 ans et moins;7.28;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;60 ans et plus;11.9;2012
686006;Paris Gare de Lyon;50 ans à 59 ans;15.7;2012
686006;Paris Gare de Lyon;20 ans à 29 ans;25.9;2012
686006;Paris Gare de Lyon;19 ans et moins;4.13;2012
686006;Paris Gare de Lyon;Non communiqué;3.4;2012
384008;Paris St Lazare;Non communiqué;1.12;2013
271007;Paris Nord;30 ans à 39 ans;20.6;2012
271007;Paris Nord;50 ans à 59 ans;11.7;2012
271007;Paris Nord;19 ans et moins;5.44;2012
223263;Lille Europe;Non communiqué;0.29;2013
444877;Cherbourg;30 ans à 39 ans;19.1;2015
444877;Cherbourg;19 ans et moins;6.84;2015
757625;Cannes;30 ans à 39 ans;9.81;2015
396002;Le Mans;60 ans et plus;14.5;2015
182014;Colmar;19 ans et moins;35.9;2017
713040;Dijon;50 ans à 59 ans;15.6;2015
713040;Dijon;19 ans et moins;19.5;2015
345025;Lens;40 ans à 49 ans;11.2;2016
345025;Lens;19 ans et moins;25.4;2016
763029;Valence TGV Rhône-Alpes Sud;50 ans à 59 ans;19.4;2015
763029;Valence TGV Rhône-Alpes Sud;19 ans et moins;3.21;2015
118000;Troyes;40 ans à 49 ans;16.4;2015
118000;Troyes;60 ans et plus;10.4;2015
113001;Paris Est;40 ans à 49 ans;16.9;2012
481002;Nantes;50 ans à 59 ans;18.1;2014
775007;Nîmes;50 ans à 59 ans;11.2;2014
775007;Nîmes;19 ans et moins;21.9;2014
141002;Nancy;40 ans à 49 ans;11.4;2014
141002;Nancy;50 ans à 59 ans;11.6;2014
756056;Nice;30 ans à 39 ans;14.0;2014
756056;Nice;20 ans à 29 ans;28.7;2014
;Paris Bercy;40 ans à 49 ans;23.8;2012
;Paris Bercy;20 ans à 29 ans;18.7;2012
319012;Aix en Provence-TGV;30 ans à 39 ans;18.6;2015
