UIC;Gare;Service Wifi
784231;Argelès-sur-Mer;Non
484006;Angers-St-Laud;Oui
741645;Albertville;Non
381848;Argenteuil;Oui
543090;Angerville;Non
444539;Argentan;Non
381491;Andrésy;Non
592311;Ambazac;Non
613398;Albias;Non
753657;Arles;Non
317016;Boulogne-Tintelleries;Non
276485;Bouffemont-Moisselles;Non
581009;Bordeaux-St-Jean;Oui
214775;Bourg-Bruche;Non
684407;Boigneville;Non
775346;Boucoiran;Non
478065;Bonnemain;Non
342071;Boisleux;Non
726414;Bonson;Non
386730;Aubergenville-Élisabethville;Non
271304;Aubervilliers-La Courneuve;Oui
545467;Arpajon (Essonne);Oui
276543;Auvers-sur-Oise;Non
562421;Aulnat-Aéroport;Non
286146;Armentières;Non
683607;Augy-Vaux;Non
281428;Audruicq;Non
611764;Aubiet;Non
613075;Assier;Non
411264;Barentin-Embranchement;Non
342592;Bailleul-Sir-Berthoult;Non
683573;Auxerre-St-Gervais;Non
111864;Balsièges-Bourg;Non
611533;Ax-les-Thermes;Non
590349;Babinière;Non
616011;Avignonet;Non
286872;Baisieux;Non
683789;Avallon;Non
576439;Avord;Non
721357;Belleville-sur-Saône;Non
473165;Belle-Isle-Bégard;Non
481770;Batz-sur-Mer;Non
476408;Belz-Ploemel;Non
781609;Bédarieux;Non
592188;Barsanges;Non
673004;Bayonne;Oui
672774;Bedous;Non
783563;Barjac;Non
582759;Barsac;Non
345140;Billy-Montigny;Non
214296;Bischoffsheim;Non
141424;Bertrichamps;Non
212308;Bischheim;Non
673400;Biarritz;Oui
393546;Bièvres;Non
723544;Beynost;Non
393363;Beynes;Non
694612;Blanzy;Non
574004;Blois;Oui
684118;Bourron-Marlotte-Grez;Non
641266;Bourg-Lastic-Messeix;Non
741793;Bourg-St-Maurice;Oui
611095;Boussens;Non
576207;Bourges;Oui
182659;Breitenbach-Haut-Rhin;Non
276451;Bruyères-sur-Oise;Non
594762;Bretenoux-Biars;Non
473827;Brélidy-Plouëc;Non
545194;Brétigny;Oui
287235;Bouvines;Non
381624;Bréval;Non
694166;Broye;Non
394452;Brou;Non
756395;Cap-d'Ail;Non
755371;Carnoules;Non
615229;Campagne;Non
172353;Carignan;Non
615625;Carmaux;Non
473546;Callac;Non
471037;Bruz;Non
444000;Caen;Oui
725721;Pontanevaux-la-Chapelle;Non
313395;Poix-de-Picardie;Non
743120;Pont-d'Ain;Non
473199;Plounérin;Non
594663;Pompadour;Non
582734;Podensac;Non
478123;Plerguer;Non
784785;Planès;Non
386573;Poissy;Oui
615146;Pomas;Non
741470;Pont-de-Beauvoisin;Non
734087;Pont-du-Château;Non
317115;Pont-de-Briques;Non
725804;Pont-de-Veyle;Non
586404;Pont-du-Casse;Non
734459;Pont-de-Dore;Non
281410;Pont-d'Ardres;Non
673699;Pont-Noblia;Non
394247;Pontgouin;Non
300863;Besançon-Franche-Comté-TGV;Oui
213611;Bischwiller (Bas-Rhin);Non
718015;Besançon-Mouillère;Non
381152;Boissy-l'Aillerie;Non
381079;Bois-Colombes;Oui
713073;Blaisy-Bas;Non
343160;Beuvrages;Non
193821;Bitche;Non
726471;Boën;Non
757690;Biot;Non
300822;Belfort-Montbéliard-TGV;Oui
486142;Belleville-Vendée;Non
581850;Bassens-Ville;Non
765198;Bédarrides;Non
641068;Bellenaves;Non
295808;Berlaimont;Non
313510;Beauvais;Non
193250;Béning;Non
175133;Bayard;Non
753228;Berre;Non
381046;Avenue-Henri-Martin;Oui
783647;Bagnols-Chadenet;Non
144147;Bains-les-Bains;Non
184200;Bas-Évette;Non
295725;Avesnelles;Non
448514;Avranches;Non
611384;Auterive;Non
141416;Baccarat;Non
613604;Bagnac;Non
342584;Avion;Non
783340;Campagnac-St-Geniez;Non
342543;Calonne-Ricouart;Non
345520;Cambrai;Non
581736;Bruges;Non
613000;Cahors;Non
281139;Cassel;Non
751776;Cassis;Non
131961;Brion-Montréal-la-Cluse;Non
682138;Boussy-St-Antoine;Non
723429;Bourgoin-Jallieu;Non
171322;Breuil-Romain;Non
394270;Bretoncelles;Non
476242;Brandérion;Non
722728;Brignais;Non
448084;Briouze;Non
592063;Brignac;Non
734269;Brioude;Non
381137;Asnières-sur-Seine;Oui
543058;Artenay (Loiret);Non
396549;Arnage;Non
545657;Auneau;Non
613224;Aubin;Non
342014;Arras;Oui
672162;Assat;Non
476200;Auray;Oui
726760;Aurec;Non
286864;Ascq;Non
784801;Bolquère-Eyne;Non
784876;Bourg-Madame;Non
415893;Bonnières;Non
281279;Bourbourg;Non
545731;Bonneval;Non
345389;Bouchain;Non
142224;Bologne;Non
