UIC;Gare enquêtée;Distance parcourue;Répartition;Année
;Paris Bercy;50 à 100 km;1;2012
;Paris Bercy;15 à 20 km;2;2012
;Paris Bercy;02 à 04 km;20;2012
271494;Aéroport Charles de Gaulle 2 TGV;06 à 08 km;3;2013
271494;Aéroport Charles de Gaulle 2 TGV;20 à 30 km;45;2013
300863;Besançon Franche-Comté TGV;Moins de 2 km;44;2015
300863;Besançon Franche-Comté TGV;02 à 04 km;2;2015
286005;Lille Flandres;Plus de 100 km;0;2013
286005;Lille Flandres;02 à 04 km;2;2013
318964;Avignon TGV;04 à 06 km;0;2015
271007;Paris Nord;10 à 15 km;7;2012
313874;Amiens;08 à 10 km;1;2015
313874;Amiens;04 à 06 km;3;2015
319012;Aix en Provence-TGV;30 à 50 km;9;2015
319012;Aix en Provence-TGV;02 à 04 km;1;2015
384008;Paris St Lazare;30 à 50 km;1;2013
318964;Avignon TGV;Plus de 100 km;1;2015
318964;Avignon TGV;10 à 15 km;7;2015
393702;Massy TGV;02 à 04 km;11;2013
345025;Lens;Moins de 2 km;49;2016
345025;Lens;50 à 100 km;0;2016
345025;Lens;06 à 08 km;6;2016
345025;Lens;20 à 30 km;2;2016
581009;Bordeaux Saint-Jean;50 à 100 km;2;2014
581009;Bordeaux Saint-Jean;04 à 06 km;2;2014
581009;Bordeaux Saint-Jean;06 à 08 km;3;2014
611004;Toulouse Matabiau;08 à 10 km;4;2014
611004;Toulouse Matabiau;06 à 08 km;0;2014
583005;Angoulême;Plus de 100 km;1;2012
575001;Poitiers;Moins de 2 km;63;2015
583005;Angoulême;15 à 20 km;4;2012
575001;Poitiers;30 à 50 km;6;2015
575001;Poitiers;08 à 10 km;3;2015
411017;Rouen Rive Droite;15 à 20 km;2;2014
411017;Rouen Rive Droite;02 à 04 km;14;2014
411017;Rouen Rive Droite;30 à 50 km;3;2014
393702;Massy TGV;50 à 100 km;2;2013
393702;Massy TGV;06 à 08 km;6;2013
444877;Cherbourg;08 à 10 km;1;2015
396002;Le Mans;50 à 100 km;1;2015
396002;Le Mans;06 à 08 km;4;2015
396002;Le Mans;10 à 15 km;3;2015
444000;Caen;30 à 50 km;1;2012
444877;Cherbourg;Plus de 100 km;2;2015
444877;Cherbourg;Moins de 2 km;70;2015
444877;Cherbourg;20 à 30 km;5;2015
476002;Lorient;04 à 06 km;3;2010
476002;Lorient;02 à 04 km;6;2010
476002;Lorient;20 à 30 km;2;2010
471003;Rennes;10 à 15 km;3;2014
478404;Laval;50 à 100 km;2;2011
478404;Laval;15 à 20 km;4;2011
478404;Laval;20 à 30 km;9;2011
611004;Toulouse Matabiau;50 à 100 km;3;2014
611004;Toulouse Matabiau;20 à 30 km;3;2014
611004;Toulouse Matabiau;30 à 50 km;2;2014
673400;Biarritz;Moins de 2 km;67;2016
673400;Biarritz;10 à 15 km;2;2016
673400;Biarritz;30 à 50 km;1;2016
673004;Bayonne;50 à 100 km;1;2013
673004;Bayonne;10 à 15 km;4;2013
677005;Hendaye;06 à 08 km;1;2016
677005;Hendaye;30 à 50 km;2;2016
751008;Marseille Saint-Charles;20 à 30 km;12;2013
762906;Lyon Saint Exupery TGV;08 à 10 km;12;2016
762906;Lyon Saint Exupery TGV;04 à 06 km;3;2016
762906;Lyon Saint Exupery TGV;06 à 08 km;0;2016
718007;Besançon-Viotte;Moins de 2 km;85;2012
686006;Paris Gare de Lyon;04 à 06 km;19;2012
686006;Paris Gare de Lyon;20 à 30 km;3;2012
718007;Besançon-Viotte;15 à 20 km;2;2012
722025;Lyon Perrache;08 à 10 km;2;2011
722025;Lyon Perrache;30 à 50 km;1;2011
677005;Hendaye;Moins de 2 km;74;2016
713040;Dijon;Plus de 100 km;2;2015
677005;Hendaye;50 à 100 km;0;2016
713040;Dijon;30 à 50 km;2;2015
484006;Angers Saint Laud;Moins de 2 km;67;2015
484006;Angers Saint Laud;30 à 50 km;4;2015
484006;Angers Saint Laud;06 à 08 km;4;2015
547000;Paris Austerlitz;15 à 20 km;3;2013
547000;Paris Austerlitz;02 à 04 km;26;2013
547000;Paris Austerlitz;08 à 10 km;8;2013
481002;Nantes;Plus de 100 km;4;2014
481002;Nantes;15 à 20 km;2;2014
571000;Tours;20 à 30 km;2;2016
571000;Tours;30 à 50 km;2;2016
111849;Marne la Vallée Chessy;15 à 20 km;3;2013
111849;Marne la Vallée Chessy;04 à 06 km;1;2013
113001;Paris Est;Moins de 2 km;23;2012
118000;Troyes;Plus de 100 km;2;2015
113001;Paris Est;04 à 06 km;12;2012
118000;Troyes;50 à 100 km;2;2015
118000;Troyes;20 à 30 km;4;2015
118000;Troyes;30 à 50 km;6;2015
118000;Troyes;04 à 06 km;4;2015
118000;Troyes;08 à 10 km;3;2015
723197;Lyon Part Dieu;Moins de 2 km;26;2011
723197;Lyon Part Dieu;02 à 04 km;42;2011
723197;Lyon Part Dieu;04 à 06 km;13;2011
;Paris Bercy;04 à 06 km;22;2012
;Paris Bercy;10 à 15 km;14;2012
;Paris Bercy;20 à 30 km;3;2012
751008;Marseille Saint-Charles;50 à 100 km;5;2013
718007;Besançon-Viotte;Plus de 100 km;1;2012
723197;Lyon Part Dieu;Plus de 100 km;3;2011
723197;Lyon Part Dieu;06 à 08 km;4;2011
722025;Lyon Perrache;15 à 20 km;2;2011
722025;Lyon Perrache;20 à 30 km;2;2011
755009;Toulon;Plus de 100 km;1;2014
747006;Grenoble;15 à 20 km;1;2015
756056;Nice;15 à 20 km;1;2014
756056;Nice;10 à 15 km;1;2014
611004;Toulouse Matabiau;Moins de 2 km;77;2014
581009;Bordeaux Saint-Jean;02 à 04 km;7;2014
611004;Toulouse Matabiau;04 à 06 km;1;2014
583005;Angoulême;06 à 08 km;11;2012
583005;Angoulême;04 à 06 km;6;2012
575001;Poitiers;10 à 15 km;3;2015
673004;Bayonne;06 à 08 km;11;2013
673004;Bayonne;30 à 50 km;2;2013
571000;Tours;50 à 100 km;1;2016
571000;Tours;10 à 15 km;2;2016
142109;Lorraine TGV;50 à 100 km;9;2017
182014;Colmar;Plus de 100 km;2;2017
182014;Colmar;Moins de 2 km;56;2017
182063;Mulhouse;50 à 100 km;2;2014
171009;Reims;Plus de 100 km;3;2016
182063;Mulhouse;20 à 30 km;4;2014
141002;Nancy;Plus de 100 km;1;2014
182063;Mulhouse;08 à 10 km;2;2014
182014;Colmar;15 à 20 km;7;2017
171009;Reims;30 à 50 km;2;2016
686006;Paris Gare de Lyon;15 à 20 km;3;2012
686006;Paris Gare de Lyon;06 à 08 km;6;2012
718007;Besançon-Viotte;10 à 15 km;1;2012
718007;Besançon-Viotte;08 à 10 km;0;2012
673400;Biarritz;06 à 08 km;3;2016
673400;Biarritz;08 à 10 km;2;2016
677005;Hendaye;04 à 06 km;1;2016
713040;Dijon;06 à 08 km;4;2015
713040;Dijon;10 à 15 km;1;2015
713040;Dijon;20 à 30 km;1;2015
476002;Lorient;Plus de 100 km;0;2010
471003;Rennes;Plus de 100 km;3;2014
444000;Caen;Plus de 100 km;6;2012
476002;Lorient;10 à 15 km;2;2010
444000;Caen;Moins de 2 km;64;2012
471003;Rennes;08 à 10 km;3;2014
471003;Rennes;20 à 30 km;2;2014
478404;Laval;04 à 06 km;5;2011
478404;Laval;08 à 10 km;2;2011
444000;Caen;10 à 15 km;6;2012
773002;Montpellier Saint-Roch;Moins de 2 km;83;2015
773002;Montpellier Saint-Roch;50 à 100 km;1;2015
773002;Montpellier Saint-Roch;08 à 10 km;2;2015
773002;Montpellier Saint-Roch;30 à 50 km;2;2015
773002;Montpellier Saint-Roch;10 à 15 km;2;2015
271494;Aéroport Charles de Gaulle 2 TGV;Plus de 100 km;4;2013
271494;Aéroport Charles de Gaulle 2 TGV;15 à 20 km;8;2013
271494;Aéroport Charles de Gaulle 2 TGV;10 à 15 km;12;2013
271494;Aéroport Charles de Gaulle 2 TGV;08 à 10 km;5;2013
286005;Lille Flandres;Moins de 2 km;87;2013
212027;Strasbourg;Plus de 100 km;2;2016
286005;Lille Flandres;08 à 10 km;2;2013
182063;Mulhouse;Moins de 2 km;73;2014
192039;Metz;20 à 30 km;5;2016
192039;Metz;06 à 08 km;2;2016
384008;Paris St Lazare;Plus de 100 km;1;2013
411017;Rouen Rive Droite;50 à 100 km;3;2014
411017;Rouen Rive Droite;08 à 10 km;1;2014
411017;Rouen Rive Droite;20 à 30 km;3;2014
384008;Paris St Lazare;10 à 15 km;4;2013
393702;Massy TGV;04 à 06 km;3;2013
393702;Massy TGV;08 à 10 km;9;2013
396002;Le Mans;15 à 20 km;3;2015
396002;Le Mans;02 à 04 km;0;2015
444000;Caen;02 à 04 km;7;2012
484006;Angers Saint Laud;Plus de 100 km;3;2015
484006;Angers Saint Laud;50 à 100 km;4;2015
484006;Angers Saint Laud;15 à 20 km;3;2015
484006;Angers Saint Laud;20 à 30 km;4;2015
547000;Paris Austerlitz;30 à 50 km;2;2013
478404;Laval;Plus de 100 km;1;2011
481002;Nantes;08 à 10 km;5;2014
481002;Nantes;30 à 50 km;2;2014
571000;Tours;06 à 08 km;6;2016
571000;Tours;08 à 10 km;1;2016
319012;Aix en Provence-TGV;08 à 10 km;4;2015
384008;Paris St Lazare;08 à 10 km;8;2013
318964;Avignon TGV;02 à 04 km;2;2015
318964;Avignon TGV;06 à 08 km;4;2015
318964;Avignon TGV;08 à 10 km;3;2015
313874;Amiens;Moins de 2 km;83;2015
313874;Amiens;20 à 30 km;2;2015
313874;Amiens;30 à 50 km;2;2015
345025;Lens;02 à 04 km;19;2016
345025;Lens;08 à 10 km;4;2016
300863;Besançon Franche-Comté TGV;Plus de 100 km;3;2015
300863;Besançon Franche-Comté TGV;15 à 20 km;6;2015
111849;Marne la Vallée Chessy;50 à 100 km;2;2013
111849;Marne la Vallée Chessy;02 à 04 km;73;2013
271494;Aéroport Charles de Gaulle 2 TGV;30 à 50 km;12;2013
271494;Aéroport Charles de Gaulle 2 TGV;04 à 06 km;4;2013
300863;Besançon Franche-Comté TGV;10 à 15 km;6;2015
300863;Besançon Franche-Comté TGV;20 à 30 km;6;2015
300822;Belfort Montbéliard TGV;06 à 08 km;3;2015
286005;Lille Flandres;06 à 08 km;1;2013
286005;Lille Flandres;10 à 15 km;1;2013
286005;Lille Flandres;20 à 30 km;0;2013
271007;Paris Nord;Moins de 2 km;24;2012
271007;Paris Nord;30 à 50 km;1;2012
212027;Strasbourg;Moins de 2 km;77;2016
212027;Strasbourg;02 à 04 km;4;2016
271007;Paris Nord;02 à 04 km;24;2012
271007;Paris Nord;04 à 06 km;14;2012
271007;Paris Nord;20 à 30 km;2;2012
182063;Mulhouse;15 à 20 km;2;2014
182063;Mulhouse;02 à 04 km;3;2014
192039;Metz;02 à 04 km;4;2016
192039;Metz;08 à 10 km;2;2016
192039;Metz;10 à 15 km;2;2016
113001;Paris Est;50 à 100 km;1;2012
113001;Paris Est;15 à 20 km;2;2012
113001;Paris Est;06 à 08 km;13;2012
171009;Reims;Moins de 2 km;83;2016
141002;Nancy;Moins de 2 km;68;2014
182014;Colmar;30 à 50 km;3;2017
171009;Reims;50 à 100 km;2;2016
141002;Nancy;50 à 100 km;2;2014
182014;Colmar;10 à 15 km;6;2017
141002;Nancy;10 à 15 km;2;2014
763029;Valence TGV Rhône-Alpes Sud;15 à 20 km;8;2015
763029;Valence TGV Rhône-Alpes Sud;20 à 30 km;8;2015
763029;Valence TGV Rhône-Alpes Sud;08 à 10 km;10;2015
762906;Lyon Saint Exupery TGV;Plus de 100 km;24;2016
756056;Nice;Moins de 2 km;92;2014
756056;Nice;30 à 50 km;1;2014
756056;Nice;20 à 30 km;2;2014
751008;Marseille Saint-Charles;08 à 10 km;1;2013
751008;Marseille Saint-Charles;10 à 15 km;3;2013
718007;Besançon-Viotte;30 à 50 km;6;2012
723197;Lyon Part Dieu;50 à 100 km;2;2011
723197;Lyon Part Dieu;08 à 10 km;2;2011
747006;Grenoble;Plus de 100 km;1;2015
755009;Toulon;Moins de 2 km;57;2014
713040;Dijon;Moins de 2 km;75;2015
747006;Grenoble;02 à 04 km;4;2015
755009;Toulon;04 à 06 km;3;2014
319012;Aix en Provence-TGV;04 à 06 km;6;2015
384008;Paris St Lazare;Moins de 2 km;36;2013
411017;Rouen Rive Droite;04 à 06 km;7;2014
384008;Paris St Lazare;06 à 08 km;10;2013
384008;Paris St Lazare;15 à 20 km;1;2013
318964;Avignon TGV;15 à 20 km;6;2015
318964;Avignon TGV;20 à 30 km;15;2015
393702;Massy TGV;15 à 20 km;7;2013
393702;Massy TGV;30 à 50 km;5;2013
345025;Lens;30 à 50 km;1;2016
581009;Bordeaux Saint-Jean;Plus de 100 km;5;2014
581009;Bordeaux Saint-Jean;20 à 30 km;1;2014
484006;Angers Saint Laud;08 à 10 km;2;2015
476002;Lorient;Moins de 2 km;78;2010
583005;Angoulême;50 à 100 km;2;2012
571000;Tours;Plus de 100 km;3;2016
571000;Tours;Moins de 2 km;73;2016
476002;Lorient;30 à 50 km;3;2010
481002;Nantes;02 à 04 km;2;2014
571000;Tours;02 à 04 km;2;2016
686006;Paris Gare de Lyon;50 à 100 km;2;2012
686006;Paris Gare de Lyon;30 à 50 km;3;2012
583005;Angoulême;Moins de 2 km;49;2012
673004;Bayonne;Plus de 100 km;1;2013
673004;Bayonne;Moins de 2 km;47;2013
673400;Biarritz;20 à 30 km;2;2016
673004;Bayonne;04 à 06 km;6;2013
677005;Hendaye;10 à 15 km;8;2016
677005;Hendaye;20 à 30 km;9;2016
713040;Dijon;04 à 06 km;3;2015
411017;Rouen Rive Droite;10 à 15 km;3;2014
471003;Rennes;Moins de 2 km;74;2014
444877;Cherbourg;10 à 15 km;4;2015
476002;Lorient;06 à 08 km;2;2010
476002;Lorient;08 à 10 km;2;2010
471003;Rennes;50 à 100 km;3;2014
471003;Rennes;04 à 06 km;6;2014
471003;Rennes;06 à 08 km;2;2014
444000;Caen;08 à 10 km;1;2012
444000;Caen;20 à 30 km;1;2012
763029;Valence TGV Rhône-Alpes Sud;50 à 100 km;12;2015
784009;Perpignan;15 à 20 km;4;2016
784009;Perpignan;08 à 10 km;1;2016
775007;Nîmes;50 à 100 km;2;2014
784009;Perpignan;50 à 100 km;2;2016
411017;Rouen Rive Droite;Moins de 2 km;58;2014
384008;Paris St Lazare;50 à 100 km;0;2013
384008;Paris St Lazare;20 à 30 km;1;2013
393702;Massy TGV;Plus de 100 km;4;2013
393702;Massy TGV;Moins de 2 km;32;2013
393702;Massy TGV;20 à 30 km;6;2013
396002;Le Mans;30 à 50 km;5;2015
396002;Le Mans;08 à 10 km;1;2015
345025;Lens;04 à 06 km;9;2016
345025;Lens;10 à 15 km;4;2016
300863;Besançon Franche-Comté TGV;04 à 06 km;6;2015
300863;Besançon Franche-Comté TGV;06 à 08 km;1;2015
319012;Aix en Provence-TGV;50 à 100 km;10;2015
319012;Aix en Provence-TGV;10 à 15 km;44;2015
319012;Aix en Provence-TGV;06 à 08 km;2;2015
318964;Avignon TGV;Moins de 2 km;37;2015
318964;Avignon TGV;50 à 100 km;4;2015
318964;Avignon TGV;30 à 50 km;20;2015
313874;Amiens;Plus de 100 km;3;2015
313874;Amiens;50 à 100 km;3;2015
763029;Valence TGV Rhône-Alpes Sud;10 à 15 km;6;2015
773002;Montpellier Saint-Roch;15 à 20 km;2;2015
773002;Montpellier Saint-Roch;06 à 08 km;3;2015
784009;Perpignan;Moins de 2 km;60;2016
784009;Perpignan;10 à 15 km;12;2016
784009;Perpignan;02 à 04 km;0;2016
775007;Nîmes;Moins de 2 km;60;2014
775007;Nîmes;15 à 20 km;7;2014
751008;Marseille Saint-Charles;15 à 20 km;5;2013
751008;Marseille Saint-Charles;30 à 50 km;5;2013
723197;Lyon Part Dieu;20 à 30 km;1;2011
722025;Lyon Perrache;02 à 04 km;22;2011
722025;Lyon Perrache;10 à 15 km;2;2011
747006;Grenoble;Moins de 2 km;71;2015
753657;Arles;Plus de 100 km;1;2014
747006;Grenoble;04 à 06 km;13;2015
755009;Toulon;08 à 10 km;4;2014
753657;Arles;10 à 15 km;2;2014
686006;Paris Gare de Lyon;02 à 04 km;16;2012
611004;Toulouse Matabiau;10 à 15 km;4;2014
718007;Besançon-Viotte;02 à 04 km;1;2012
673400;Biarritz;Plus de 100 km;2;2016
673400;Biarritz;15 à 20 km;1;2016
673400;Biarritz;02 à 04 km;5;2016
677005;Hendaye;15 à 20 km;3;2016
673004;Bayonne;02 à 04 km;18;2013
713040;Dijon;15 à 20 km;1;2015
713040;Dijon;08 à 10 km;2;2015
411017;Rouen Rive Droite;Plus de 100 km;2;2014
444877;Cherbourg;02 à 04 km;6;2015
444877;Cherbourg;04 à 06 km;4;2015
444877;Cherbourg;06 à 08 km;2;2015
478404;Laval;Moins de 2 km;65;2011
476002;Lorient;15 à 20 km;2;2010
471003;Rennes;30 à 50 km;3;2014
481002;Nantes;04 à 06 km;2;2014
478404;Laval;10 à 15 km;3;2011
444000;Caen;15 à 20 km;1;2012
763029;Valence TGV Rhône-Alpes Sud;02 à 04 km;5;2015
763029;Valence TGV Rhône-Alpes Sud;06 à 08 km;6;2015
757625;Cannes;Plus de 100 km;1;2015
757625;Cannes;Moins de 2 km;70;2015
756056;Nice;Plus de 100 km;1;2014
755009;Toulon;50 à 100 km;2;2014
755009;Toulon;20 à 30 km;10;2014
755009;Toulon;30 à 50 km;5;2014
755009;Toulon;10 à 15 km;7;2014
757625;Cannes;15 à 20 km;1;2015
300822;Belfort Montbéliard TGV;Plus de 100 km;4;2015
300822;Belfort Montbéliard TGV;50 à 100 km;1;2015
300822;Belfort Montbéliard TGV;10 à 15 km;29;2015
300822;Belfort Montbéliard TGV;04 à 06 km;3;2015
286005;Lille Flandres;04 à 06 km;5;2013
286005;Lille Flandres;30 à 50 km;0;2013
271007;Paris Nord;Plus de 100 km;3;2012
271007;Paris Nord;50 à 100 km;0;2012
271007;Paris Nord;06 à 08 km;19;2012
271007;Paris Nord;08 à 10 km;3;2012
547000;Paris Austerlitz;Plus de 100 km;5;2013
547000;Paris Austerlitz;Moins de 2 km;13;2013
547000;Paris Austerlitz;20 à 30 km;3;2013
481002;Nantes;Moins de 2 km;64;2014
575001;Poitiers;15 à 20 km;2;2015
481002;Nantes;50 à 100 km;4;2014
481002;Nantes;06 à 08 km;6;2014
481002;Nantes;10 à 15 km;6;2014
481002;Nantes;20 à 30 km;3;2014
571000;Tours;15 à 20 km;1;2016
581009;Bordeaux Saint-Jean;Moins de 2 km;62;2014
581009;Bordeaux Saint-Jean;15 à 20 km;3;2014
581009;Bordeaux Saint-Jean;30 à 50 km;3;2014
581009;Bordeaux Saint-Jean;08 à 10 km;5;2014
581009;Bordeaux Saint-Jean;10 à 15 km;6;2014
575001;Poitiers;Plus de 100 km;5;2015
583005;Angoulême;08 à 10 km;2;2012
583005;Angoulême;10 à 15 km;3;2012
583005;Angoulême;20 à 30 km;4;2012
575001;Poitiers;20 à 30 km;4;2015
212027;Strasbourg;06 à 08 km;3;2016
212027;Strasbourg;10 à 15 km;1;2016
111849;Marne la Vallée Chessy;Plus de 100 km;1;2013
111849;Marne la Vallée Chessy;30 à 50 km;8;2013
111849;Marne la Vallée Chessy;06 à 08 km;4;2013
111849;Marne la Vallée Chessy;10 à 15 km;3;2013
113001;Paris Est;30 à 50 km;2;2012
113001;Paris Est;02 à 04 km;27;2012
118000;Troyes;10 à 15 km;4;2015
;Paris Bercy;Moins de 2 km;8;2012
;Paris Bercy;08 à 10 km;9;2012
300863;Besançon Franche-Comté TGV;50 à 100 km;6;2015
319012;Aix en Provence-TGV;Plus de 100 km;4;2015
319012;Aix en Provence-TGV;15 à 20 km;4;2015
319012;Aix en Provence-TGV;20 à 30 km;16;2015
384008;Paris St Lazare;02 à 04 km;18;2013
384008;Paris St Lazare;04 à 06 km;18;2013
345025;Lens;Plus de 100 km;1;2016
313874;Amiens;06 à 08 km;0;2015
313874;Amiens;10 à 15 km;1;2015
345025;Lens;15 à 20 km;7;2016
271494;Aéroport Charles de Gaulle 2 TGV;50 à 100 km;6;2013
271494;Aéroport Charles de Gaulle 2 TGV;02 à 04 km;1;2013
300822;Belfort Montbéliard TGV;15 à 20 km;4;2015
300822;Belfort Montbéliard TGV;20 à 30 km;4;2015
286005;Lille Flandres;50 à 100 km;1;2013
286005;Lille Flandres;15 à 20 km;0;2013
212027;Strasbourg;50 à 100 km;2;2016
212027;Strasbourg;15 à 20 km;2;2016
212027;Strasbourg;08 à 10 km;1;2016
271007;Paris Nord;15 à 20 km;3;2012
411017;Rouen Rive Droite;06 à 08 km;4;2014
396002;Le Mans;Plus de 100 km;4;2015
396002;Le Mans;Moins de 2 km;74;2015
393702;Massy TGV;10 à 15 km;17;2013
444877;Cherbourg;15 à 20 km;4;2015
396002;Le Mans;04 à 06 km;3;2015
396002;Le Mans;20 à 30 km;3;2015
444000;Caen;50 à 100 km;3;2012
444000;Caen;06 à 08 km;3;2012
444000;Caen;04 à 06 km;7;2012
142109;Lorraine TGV;Plus de 100 km;2;2017
142109;Lorraine TGV;15 à 20 km;28;2017
212027;Strasbourg;04 à 06 km;3;2016
182063;Mulhouse;30 à 50 km;2;2014
192039;Metz;Plus de 100 km;2;2016
182014;Colmar;06 à 08 km;7;2017
